token	corpus size	all contexts size	frequency	co-frequency	specificity
고도화를	38955	448	1	1	1.94
농림수산식품부는	38955	448	1	1	1.94
자강	38955	448	1	1	1.94
실천을	38955	448	1	1	1.94
역점	38955	448	1	1	1.94
추진한	38955	448	1	1	1.94
지목된	38955	448	1	1	1.94
그룹에	38955	448	1	1	1.94
로봇과	38955	448	1	1	1.94
습득은	38955	448	1	1	1.94
과제이며	38955	448	1	1	1.94
농업인	38955	448	1	1	1.94
자긍	38955	448	1	1	1.94
키워요	38955	448	1	1	1.94
개편안에	38955	448	1	1	1.94
운영돼	38955	448	1	1	1.94
개인정보처리시스템에	38955	448	1	1	1.94
한양대학교	38955	448	1	1	1.94
기계공학부	38955	448	1	1	1.94
연구팀의	38955	448	1	1	1.94
연구가	38955	448	1	1	1.94
관측	38955	448	1	1	1.94
조정하며	38955	448	1	1	1.94
판단까지	38955	448	1	1	1.94
개발했다	38955	448	1	1	1.94
제어	38955	448	1	1	1.94
알고리즘을	38955	448	1	1	1.94
통합한	38955	448	1	1	1.94
개입	38955	448	1	1	1.94
탐색하고	38955	448	1	1	1.94
진단할	38955	448	1	1	1.94
실행력을	38955	448	1	1	1.94
구성원들의	38955	448	1	1	1.94
유도를	38955	448	1	1	1.94
준수의	38955	448	1	1	1.94
서약	38955	448	1	1	1.94
엄격해지고	38955	448	1	1	1.94
윤리	38955	448	1	1	1.94
의식	38955	448	1	1	1.94
준수	38955	448	1	1	1.94
고도화에	38955	448	1	1	1.94
기울일	38955	448	1	1	1.94
방침	38955	448	1	1	1.94
검증되고	38955	448	1	1	1.94
신뢰받는	38955	448	1	1	1.94
운영체계와	38955	448	1	1	1.94
결합함으로써	38955	448	1	1	1.94
실용적이고	38955	448	1	1	1.94
제공할	38955	448	1	1	1.94
제휴	38955	448	1	1	1.94
디렉터는	38955	448	1	1	1.94
협력으로	38955	448	1	1	1.94
동작하는	38955	448	1	1	1.94
인증할	38955	448	1	1	1.94
제공하게	38955	448	1	1	1.94
실행하고	38955	448	1	1	1.94
호환	38955	448	1	1	1.94
아키텍처는	38955	448	1	1	1.94
모빌리티와	38955	448	1	1	1.94
도메인	38955	448	1	1	1.94
컨트롤러	38955	448	1	1	1.94
활용되고	38955	448	1	1	1.94
단순	38955	448	1	1	1.94
전시나	38955	448	1	1	1.94
작동하는	38955	448	1	1	1.94
인프라	38955	448	15	2	1.92
시스템	38955	448	15	2	1.92
인공지능	38955	448	15	2	1.92
환경	38955	448	15	2	1.92
앞으로	38955	448	16	2	1.87
주요	38955	448	18	2	1.77
됐다	38955	448	18	2	1.77
더욱	38955	448	21	2	1.65
장기간	38955	448	2	1	1.64
야드	38955	448	2	1	1.64
아웃라이더가	38955	448	2	1	1.64
기능의	38955	448	2	1	1.64
잘못	38955	448	2	1	1.64
확인하거나	38955	448	2	1	1.64
숙련된	38955	448	2	1	1.64
아모레퍼시픽은	38955	448	2	1	1.64
삼성생명보험의	38955	448	2	1	1.64
판단했다	38955	448	2	1	1.64
범용	38955	448	2	1	1.64
신기술	38955	448	2	1	1.64
작물	38955	448	2	1	1.64
최적화	38955	448	2	1	1.64
61	38955	448	2	1	1.64
이용하는	38955	448	2	1	1.64
누구나	38955	448	2	1	1.64
설치를	38955	448	2	1	1.64
참여형	38955	448	2	1	1.64
부산시는	38955	448	2	1	1.64
조성된	38955	448	2	1	1.64
진행할	38955	448	2	1	1.64
수산업	38955	448	2	1	1.64
항공기	38955	448	2	1	1.64
최우선	38955	448	2	1	1.64
송전설비	38955	448	2	1	1.64
computer-aided	38955	448	2	1	1.64
점검까지	38955	448	2	1	1.64
필요했다	38955	448	2	1	1.64
접근	38955	448	2	1	1.64
멀티모달	38955	448	2	1	1.64
인지	38955	448	2	1	1.64
송전설비를	38955	448	2	1	1.64
기념식	38955	448	2	1	1.64
인증이	38955	448	2	1	1.64
동작	38955	448	2	1	1.64
선임	38955	448	2	1	1.64
고객이	38955	448	2	1	1.64
명확한	38955	448	2	1	1.64
경로를	38955	448	2	1	1.64
의료기기	38955	448	2	1	1.64
헬스케어	38955	448	3	1	1.47
iot	38955	448	3	1	1.47
열었다	38955	448	3	1	1.47
지속가능한	38955	448	3	1	1.47
나섰다	38955	448	3	1	1.47
정밀	38955	448	3	1	1.47
운용	38955	448	3	1	1.47
예측	38955	448	3	1	1.47
중점을	38955	448	3	1	1.47
그중	38955	448	3	1	1.47
힘을	38955	448	3	1	1.47
기존에	38955	448	3	1	1.47
세계적	38955	448	3	1	1.47
연구팀은	38955	448	3	1	1.47
제고	38955	448	3	1	1.47
확산과	38955	448	3	1	1.47
결합	38955	448	3	1	1.47
체험을	38955	448	3	1	1.47
인프라에	38955	448	3	1	1.47
구현하는	38955	448	3	1	1.47
가능한	38955	448	28	2	1.43
기기	38955	448	4	1	1.35
부담을	38955	448	4	1	1.35
줄이고	38955	448	4	1	1.35
구축에	38955	448	4	1	1.35
운영의	38955	448	4	1	1.35
주차	38955	448	4	1	1.35
앞나눔즈	38955	448	4	1	1.35
필요성이	38955	448	4	1	1.35
사례로	38955	448	4	1	1.35
신수산	38955	448	4	1	1.35
isms-p	38955	448	4	1	1.35
학술지	38955	448	4	1	1.35
인식	38955	448	4	1	1.35
지정	38955	448	4	1	1.35
개최	38955	448	4	1	1.35
임직원	38955	448	4	1	1.35
날로	38955	448	4	1	1.35
성능을	38955	448	4	1	1.35
추진할	38955	448	4	1	1.35
담당	38955	448	4	1	1.35
ai	38955	448	136	4	1.29
아웃라이더는	38955	448	5	1	1.26
agi	38955	448	5	1	1.26
로봇을	38955	448	5	1	1.26
개발에	38955	448	5	1	1.26
오기용	38955	448	5	1	1.26
수행할	38955	448	5	1	1.26
차세대	38955	448	6	1	1.19
배터리	38955	448	6	1	1.19
사실상	38955	448	6	1	1.19
생산성	38955	448	6	1	1.19
잡고	38955	448	6	1	1.19
문화를	38955	448	6	1	1.19
신재생에너지	38955	448	6	1	1.19
신청	38955	448	6	1	1.19
기술이	38955	448	6	1	1.19
비행	38955	448	6	1	1.19
더불어	38955	448	6	1	1.19
인증	38955	448	6	1	1.19
구축하고	38955	448	6	1	1.19
apex	38955	448	6	1	1.19
자동차	38955	448	6	1	1.19
및	38955	448	151	4	1.18
운영	38955	448	40	2	1.18
위한	38955	448	91	3	1.18
등에서	38955	448	7	1	1.12
공간을	38955	448	7	1	1.12
분야의	38955	448	7	1	1.12
청년을	38955	448	7	1	1.12
자립의	38955	448	7	1	1.12
공공	38955	448	7	1	1.12
분야	38955	448	7	1	1.12
최초의	38955	448	7	1	1.12
날	38955	448	7	1	1.12
안전	38955	448	7	1	1.12
프로젝트	38955	448	7	1	1.12
자립준비	38955	448	8	1	1.07
진행	38955	448	8	1	1.07
확대해	38955	448	8	1	1.07
교수	38955	448	8	1	1.07
높이고	38955	448	8	1	1.07
개발을	38955	448	8	1	1.07
os	38955	448	8	1	1.07
등에	38955	448	8	1	1.07
며	38955	448	49	2	1.04
방식으로	38955	448	9	1	1.03
온	38955	448	9	1	1.03
수행하는	38955	448	9	1	1.03
체계	38955	448	9	1	1.03
역량을	38955	448	9	1	1.03
qnx	38955	448	9	1	1.03
환경에서	38955	448	9	1	1.03
현장에서	38955	448	9	1	1.03
수	38955	448	264	5	0.98
데이터	38955	448	10	1	0.98
여	38955	448	10	1	0.98
이동	38955	448	10	1	0.98
체계를	38955	448	10	1	0.98
갖춘	38955	448	10	1	0.98
기자	38955	448	56	2	0.96
있다	38955	448	194	4	0.95
가능성을	38955	448	11	1	0.95
프로그램	38955	448	11	1	0.95
포함한	38955	448	11	1	0.95
지난해	38955	448	11	1	0.95
두고	38955	448	11	1	0.95
자리	38955	448	12	1	0.92
민간	38955	448	13	1	0.89
인간	38955	448	13	1	0.89
없이	38955	448	13	1	0.89
이미	38955	448	13	1	0.89
목표로	38955	448	13	1	0.89
모델	38955	448	14	1	0.86
세계	38955	448	15	1	0.83
기반을	38955	448	15	1	0.83
참여	38955	448	16	1	0.81
를	38955	448	75	2	0.80
등	38955	448	154	3	0.80
한다고	38955	448	17	1	0.79
국내	38955	448	17	1	0.79
예정이다	38955	448	17	1	0.79
것을	38955	448	17	1	0.79
동시에	38955	448	18	1	0.77
사업	38955	448	19	1	0.75
된다	38955	448	20	1	0.73
서울	38955	448	21	1	0.72
기술을	38955	448	21	1	0.72
산업	38955	448	21	1	0.72
위해	38955	448	92	2	0.71
에너지	38955	448	22	1	0.70
따르면	38955	448	22	1	0.70
관련	38955	448	22	1	0.70
대해	38955	448	23	1	0.69
개발	38955	448	25	1	0.66
다른	38955	448	26	1	0.65
스스로	38955	448	27	1	0.64
전	38955	448	27	1	0.64
넘어	38955	448	27	1	0.64
에서	38955	448	28	1	0.63
것이다	38955	448	31	1	0.60
내	38955	448	31	1	0.60
있는	38955	448	136	2	0.59
또한	38955	448	34	1	0.57
이	38955	448	192	2	0.57
지원을	38955	448	35	1	0.57
서비스	38955	448	36	1	0.56
직접	38955	448	36	1	0.56
이라고	38955	448	36	1	0.56
30	38955	448	37	1	0.55
핵심	38955	448	37	1	0.55
가	38955	448	41	1	0.53
교육	38955	448	43	1	0.52
개	38955	448	48	1	0.49
한다	38955	448	48	1	0.49
6	38955	448	52	1	0.48
말했다	38955	448	52	1	0.48
10	38955	448	60	1	0.46
자립	38955	448	62	1	0.45
이번	38955	448	63	1	0.45
을	38955	448	65	1	0.45
4	38955	448	70	1	0.44
의	38955	448	70	1	0.44
통해	38955	448	103	1	0.44
고	38955	448	102	1	0.44
있습니다	38955	448	73	1	0.44
대한	38955	448	82	1	0.43
