token	corpus size	all contexts size	frequency	co-frequency	specificity
ніжэй	175439	1892	15	2	1.97
засталася	175439	1892	15	2	1.97
відавочна	175439	1892	15	2	1.97
распрацоўваюць	175439	1892	1	1	1.97
павялічвалі	175439	1892	1	1	1.97
падшыпніка	175439	1892	1	1	1.97
літый-іённай	175439	1892	1	1	1.97
зніжана	175439	1892	1	1	1.97
няправільнага	175439	1892	1	1	1.97
рэкламуемая	175439	1892	1	1	1.97
пацверджаная	175439	1892	1	1	1.97
354	175439	1892	1	1	1.97
аптымізуецца	175439	1892	1	1	1.97
пазбягаючы	175439	1892	1	1	1.97
марнавання	175439	1892	1	1	1.97
мнасць	175439	1892	1	1	1.97
скар	175439	1892	1	1	1.97
тактыка-тэхнічных	175439	1892	1	1	1.97
сутках	175439	1892	1	1	1.97
праектаванні	175439	1892	1	1	1.97
улічваюцца	175439	1892	1	1	1.97
ускладзеныя	175439	1892	1	1	1.97
надзейнасцю	175439	1892	1	1	1.97
тэхнічных	175439	1892	1	1	1.97
экіпажа	175439	1892	1	1	1.97
заселенасці	175439	1892	1	1	1.97
неабмежаванай	175439	1892	1	1	1.97
караблёў	175439	1892	1	1	1.97
тыповым	175439	1892	1	1	1.97
правізіі	175439	1892	1	1	1.97
прэснай	175439	1892	1	1	1.97
авіяносцаў	175439	1892	1	1	1.97
авіягрупы	175439	1892	1	1	1.97
парку	175439	1892	1	1	1.97
запісу	175439	1892	1	1	1.97
простае	175439	1892	1	1	1.97
спартыўную	175439	1892	1	1	1.97
язду	175439	1892	1	1	1.97
характарызавацца	175439	1892	1	1	1.97
дынамічнай	175439	1892	1	1	1.97
запраўкі	175439	1892	1	1	1.97
сур'ёзнае	175439	1892	1	1	1.97
змяніўшы	175439	1892	1	1	1.97
выкарыстоўванага	175439	1892	1	1	1.97
перазарадка	175439	1892	1	1	1.97
павялічанага	175439	1892	1	1	1.97
растлумачыла	175439	1892	1	1	1.97
раздражняе	175439	1892	1	1	1.97
мэтазгодная	175439	1892	1	1	1.97
псыхолягаў	175439	1892	1	1	1.97
партнэраў	175439	1892	1	1	1.97
перакрэсьлівае	175439	1892	1	1	1.97
ўласна	175439	1892	1	1	1.97
ўстанавілася	175439	1892	1	1	1.97
структурная	175439	1892	1	1	1.97
аб’яднання	175439	1892	1	1	1.97
характарыстыка	175439	1892	1	1	1.97
выкарыстоўваеце	175439	1892	1	1	1.97
шумапрыглушэнне	175439	1892	1	1	1.97
блакіруе	175439	1892	1	1	1.97
навакольныя	175439	1892	1	1	1.97
шумы	175439	1892	1	1	1.97
атрымаем	175439	1892	1	1	1.97
прыстойную	175439	1892	1	1	1.97
актывацыі	175439	1892	1	1	1.97
адключэнняў	175439	1892	1	1	1.97
пітве	175439	1892	1	1	1.97
шлем	175439	1892	1	1	1.97
фініш	175439	1892	1	1	1.97
хрэнін	175439	1892	1	1	1.97
шойгу	175439	1892	1	1	1.97
здацца	175439	1892	1	1	1.97
незамацаванасцю	175439	1892	1	1	1.97
дыскурсіўнай	175439	1892	1	1	1.97
адасобленасцю	175439	1892	1	1	1.97
дэтэрмінацыі	175439	1892	1	1	1.97
зместавая	175439	1892	1	1	1.97
абумоўлівае	175439	1892	1	1	1.97
незамацаванасць	175439	1892	1	1	1.97
адасобленасць	175439	1892	1	1	1.97
зберагчы	175439	1892	1	1	1.97
губляюць	175439	1892	1	1	1.97
літыя	175439	1892	1	1	1.97
амалагізуе	175439	1892	1	1	1.97
330	175439	1892	1	1	1.97
візітоўкай	175439	1892	1	1	1.97
5260	175439	1892	1	1	1.97
маг	175439	1892	1	1	1.97
базавыя	175439	1892	1	1	1.97
гібрыду	175439	1892	1	1	1.97
аргументаў	175439	1892	1	1	1.97
нядобразычліўцаў	175439	1892	1	1	1.97
электрарухавіком	175439	1892	1	1	1.97
даўжынямі	175439	1892	1	1	1.97
ёмістасцей	175439	1892	1	1	1.97
функцыянал	175439	1892	1	1	1.97
разведвальныя	175439	1892	1	1	1.97
прызначэнню	175439	1892	1	1	1.97
вызначальных	175439	1892	1	1	1.97
прыкметная	175439	1892	1	1	1.97
млрд	175439	1892	1	1	1.97
тонкі	175439	1892	1	1	1.97
партатыўнасці	175439	1892	1	1	1.97
фірмавы	175439	1892	1	1	1.97
доўгую	175439	1892	1	1	1.97
абсталяваная	175439	1892	1	1	1.97
19-цалевыя	175439	1892	1	1	1.97
321	175439	1892	1	1	1.97
абсталяваныя	175439	1892	1	1	1.97
паўгоддзі	175439	1892	1	1	1.97
кузавы	175439	1892	1	1	1.97
ўніверсальнасць	175439	1892	1	1	1.97
такяго	175439	1892	1	1	1.97
lo	175439	1892	1	1	1.97
permite	175439	1892	1	1	1.97
una	175439	1892	1	1	1.97
сертыфікаваная	175439	1892	1	1	1.97
аўтамабільныя	175439	1892	1	1	1.97
гала	175439	1892	1	1	1.97
ацанілі	175439	1892	1	1	1.97
дэль	175439	1892	1	1	1.97
аўтабілд	175439	1892	1	1	1.97
карыдызіяк	175439	1892	1	1	1.97
карыснасць	175439	1892	1	1	1.97
ўкараняць	175439	1892	1	1	1.97
незразумела	175439	1892	1	1	1.97
амерыканскім	175439	1892	1	1	1.97
бесправадному	175439	1892	1	1	1.97
запушчанаму	175439	1892	1	1	1.97
шведскім	175439	1892	1	1	1.97
удасканаліўшы	175439	1892	1	1	1.97
заяўленая	175439	1892	1	1	1.97
532	175439	1892	1	1	1.97
празмернае	175439	1892	1	1	1.97
пагаршае	175439	1892	1	1	1.97
адаптавалі	175439	1892	1	1	1.97
павялічылі	175439	1892	1	1	1.97
каментаваў	175439	1892	1	1	1.97
беларускае	175439	1892	86	4	1.93
электрычным	175439	1892	16	2	1.92
прычым	175439	1892	48	3	1.88
кошт	175439	1892	48	3	1.88
увесь	175439	1892	17	2	1.87
паказвае	175439	1892	17	2	1.87
рухавік	175439	1892	17	2	1.87
чакаць	175439	1892	17	2	1.87
ён	175439	1892	440	10	1.87
дзякуючы	175439	1892	90	4	1.87
да	175439	1892	1340	22	1.82
агульнай	175439	1892	19	2	1.78
трох	175439	1892	19	2	1.78
i	175439	1892	19	2	1.78
дазваляе	175439	1892	54	3	1.75
000	175439	1892	20	2	1.74
id	175439	1892	20	2	1.74
ёмістасцю	175439	1892	20	2	1.74
забеспячэння	175439	1892	21	2	1.70
рэжыме	175439	1892	21	2	1.70
па	175439	1892	623	12	1.68
адной	175439	1892	58	3	1.67
распрацавала	175439	1892	2	1	1.67
357	175439	1892	2	1	1.67
перагледзець	175439	1892	2	1	1.67
тэстаў	175439	1892	2	1	1.67
карэйскі	175439	1892	2	1	1.67
сілавой	175439	1892	2	1	1.67
ніжэйшая	175439	1892	2	1	1.67
штодзённа	175439	1892	2	1	1.67
недастатковая	175439	1892	2	1	1.67
характарызуе	175439	1892	2	1	1.67
задаецца	175439	1892	2	1	1.67
забяспечваецца	175439	1892	2	1	1.67
далёкасці	175439	1892	2	1	1.67
плавання	175439	1892	2	1	1.67
боепрыпасаў	175439	1892	2	1	1.67
стандартным	175439	1892	2	1	1.67
lcv	175439	1892	2	1	1.67
святла	175439	1892	2	1	1.67
кансолі	175439	1892	2	1	1.67
75-працэнтным	175439	1892	2	1	1.67
зарадзе	175439	1892	2	1	1.67
382	175439	1892	2	1	1.67
ключ	175439	1892	2	1	1.67
выдатнай	175439	1892	2	1	1.67
перавагамі	175439	1892	2	1	1.67
паліўных	175439	1892	2	1	1.67
палепшыла	175439	1892	2	1	1.67
павялічана	175439	1892	2	1	1.67
семдзесят	175439	1892	2	1	1.67
417	175439	1892	2	1	1.67
тлумачыцца	175439	1892	2	1	1.67
статку	175439	1892	2	1	1.67
самаарганізацыя	175439	1892	2	1	1.67
сям’і	175439	1892	2	1	1.67
выраблены	175439	1892	2	1	1.67
гарнітура	175439	1892	2	1	1.67
пашырыць	175439	1892	2	1	1.67
батарэямі	175439	1892	2	1	1.67
bms	175439	1892	2	1	1.67
выдатках	175439	1892	2	1	1.67
гатаванні	175439	1892	2	1	1.67
ежы	175439	1892	2	1	1.67
ранняга	175439	1892	2	1	1.67
дабрацца	175439	1892	2	1	1.67
падобнымі	175439	1892	2	1	1.67
функцыянальную	175439	1892	2	1	1.67
некаторая	175439	1892	2	1	1.67
абранага	175439	1892	2	1	1.67
зможаце	175439	1892	2	1	1.67
ёмісты	175439	1892	2	1	1.67
гарадская	175439	1892	2	1	1.67
платформе	175439	1892	2	1	1.67
парушаная	175439	1892	2	1	1.67
якасны	175439	1892	2	1	1.67
дысплэй	175439	1892	2	1	1.67
брэндаў	175439	1892	2	1	1.67
ідэальны	175439	1892	2	1	1.67
21-цалевымі	175439	1892	2	1	1.67
шыны	175439	1892	2	1	1.67
абноўленай	175439	1892	2	1	1.67
прыдатным	175439	1892	2	1	1.67
літый-іённы	175439	1892	2	1	1.67
que	175439	1892	2	1	1.67
камбінаваным	175439	1892	2	1	1.67
пераможцам	175439	1892	2	1	1.67
далёкі	175439	1892	2	1	1.67
павялічылася	175439	1892	2	1	1.67
горшая	175439	1892	2	1	1.67
невялікім	175439	1892	2	1	1.67
стол	175439	1892	2	1	1.67
напружанне	175439	1892	2	1	1.67
загаловак	175439	1892	2	1	1.67
распрацоўкі	175439	1892	2	1	1.67
наколькі	175439	1892	22	2	1.67
магутнасці	175439	1892	22	2	1.67
каля	175439	1892	59	3	1.65
новы	175439	1892	60	3	1.64
незалежнасьць	175439	1892	23	2	1.63
чале	175439	1892	24	2	1.60
сродкаў	175439	1892	24	2	1.60
тая	175439	1892	24	2	1.60
акумулятарам	175439	1892	24	2	1.60
задачы	175439	1892	25	2	1.57
у	175439	1892	3101	41	1.56
рашэнне	175439	1892	26	2	1.54
нават	175439	1892	176	5	1.52
здаецца	175439	1892	27	2	1.51
трэнне	175439	1892	3	1	1.50
402	175439	1892	3	1	1.50
працэдуры	175439	1892	3	1	1.50
вызначэнні	175439	1892	3	1	1.50
максымізаваць	175439	1892	3	1	1.50
неабходных	175439	1892	3	1	1.50
elcv	175439	1892	3	1	1.50
выкарыстанні	175439	1892	3	1	1.50
камерцыйнага	175439	1892	3	1	1.50
азначаць	175439	1892	3	1	1.50
пастаўляе	175439	1892	3	1	1.50
гібрыдным	175439	1892	3	1	1.50
асноўнымі	175439	1892	3	1	1.50
провінцый	175439	1892	3	1	1.50
сонечную	175439	1892	3	1	1.50
навігацыі	175439	1892	3	1	1.50
загады	175439	1892	3	1	1.50
паслядоўнай	175439	1892	3	1	1.50
кампутара	175439	1892	3	1	1.50
навінак	175439	1892	3	1	1.50
выдатным	175439	1892	3	1	1.50
рэалізавана	175439	1892	3	1	1.50
заснаванай	175439	1892	3	1	1.50
паўплывае	175439	1892	3	1	1.50
варыянце	175439	1892	3	1	1.50
колераў	175439	1892	3	1	1.50
захоўваюць	175439	1892	3	1	1.50
даступных	175439	1892	3	1	1.50
ўстаноўлены	175439	1892	3	1	1.50
пахваліцца	175439	1892	3	1	1.50
узнагароджаны	175439	1892	3	1	1.50
згаданыя	175439	1892	3	1	1.50
прычынамі	175439	1892	3	1	1.50
прызначэння	175439	1892	3	1	1.50
амерыканская	175439	1892	3	1	1.50
магчымае	175439	1892	3	1	1.50
палярная	175439	1892	3	1	1.50
340	175439	1892	3	1	1.50
фургоне	175439	1892	3	1	1.50
дзіўны	175439	1892	3	1	1.50
нагрузкай	175439	1892	3	1	1.50
дасягне	175439	1892	3	1	1.50
аўтаномных	175439	1892	28	2	1.48
мае	175439	1892	126	4	1.44
50	175439	1892	31	2	1.40
памяншэння	175439	1892	4	1	1.38
вытворцам	175439	1892	4	1	1.38
памер	175439	1892	4	1	1.38
стварэннем	175439	1892	4	1	1.38
паліва	175439	1892	4	1	1.38
рэальныя	175439	1892	4	1	1.38
рэальным	175439	1892	4	1	1.38
рэкамендуецца	175439	1892	4	1	1.38
ўплывае	175439	1892	4	1	1.38
трэцяе	175439	1892	4	1	1.38
вагу	175439	1892	4	1	1.38
следства	175439	1892	4	1	1.38
падоўжыць	175439	1892	4	1	1.38
аднолькава	175439	1892	4	1	1.38
заяве	175439	1892	4	1	1.38
складанасці	175439	1892	4	1	1.38
тлумачэнне	175439	1892	4	1	1.38
глыбокі	175439	1892	4	1	1.38
змяняецца	175439	1892	4	1	1.38
сямі	175439	1892	4	1	1.38
склала	175439	1892	4	1	1.38
інтэграцыя	175439	1892	4	1	1.38
электрычнасць	175439	1892	4	1	1.38
самастойнасьць	175439	1892	4	1	1.38
падразьдзяленьня	175439	1892	4	1	1.38
ісьці	175439	1892	4	1	1.38
адмовіліся	175439	1892	4	1	1.38
плана	175439	1892	4	1	1.38
тэмпературай	175439	1892	4	1	1.38
атрымаецца	175439	1892	4	1	1.38
абедзвюх	175439	1892	4	1	1.38
мабільнасць	175439	1892	4	1	1.38
evmp	175439	1892	4	1	1.38
даступнай	175439	1892	4	1	1.38
падобны	175439	1892	4	1	1.38
палёту	175439	1892	4	1	1.38
паказчыкі	175439	1892	4	1	1.38
куплі	175439	1892	4	1	1.38
stellantis	175439	1892	4	1	1.38
ўключыць	175439	1892	4	1	1.38
корпус	175439	1892	4	1	1.38
седан	175439	1892	4	1	1.38
311	175439	1892	4	1	1.38
верагодна	175439	1892	4	1	1.38
павялічваючы	175439	1892	4	1	1.38
падтрымлівае	175439	1892	4	1	1.38
69	175439	1892	4	1	1.38
моцных	175439	1892	4	1	1.38
праведзеных	175439	1892	4	1	1.38
але	175439	1892	482	9	1.38
бок	175439	1892	33	2	1.36
магчыма	175439	1892	33	2	1.36
з	175439	1892	2588	33	1.35
і	175439	1892	5745	65	1.33
робіць	175439	1892	35	2	1.32
выкарыстання	175439	1892	35	2	1.32
schaeffler	175439	1892	5	1	1.29
e-niro	175439	1892	5	1	1.29
аўтано	175439	1892	5	1	1.29
каманды	175439	1892	5	1	1.29
разліку	175439	1892	5	1	1.29
ўбачым	175439	1892	5	1	1.29
286	175439	1892	5	1	1.29
азначала	175439	1892	5	1	1.29
меншы	175439	1892	5	1	1.29
вадародны	175439	1892	5	1	1.29
абнаўленне	175439	1892	5	1	1.29
рухавіка	175439	1892	5	1	1.29
гібрыдная	175439	1892	5	1	1.29
запасу	175439	1892	5	1	1.29
залежнасьць	175439	1892	5	1	1.29
ранейшыя	175439	1892	5	1	1.29
навязаных	175439	1892	5	1	1.29
характарыстыкі	175439	1892	5	1	1.29
103	175439	1892	5	1	1.29
гаворкі	175439	1892	5	1	1.29
рота	175439	1892	5	1	1.29
губляе	175439	1892	5	1	1.29
налады	175439	1892	5	1	1.29
выбарам	175439	1892	5	1	1.29
57	175439	1892	5	1	1.29
psa	175439	1892	5	1	1.29
мабільнасці	175439	1892	5	1	1.29
электрычнасці	175439	1892	5	1	1.29
233	175439	1892	5	1	1.29
паўсядзённага	175439	1892	5	1	1.29
цыкла	175439	1892	5	1	1.29
вырашыла	175439	1892	5	1	1.29
224	175439	1892	5	1	1.29
long	175439	1892	5	1	1.29
фірма	175439	1892	5	1	1.29
82	175439	1892	5	1	1.29
аб'яўляе	175439	1892	5	1	1.29
выпрабаванняў	175439	1892	5	1	1.29
вялікая	175439	1892	37	2	1.28
г	175439	1892	687	11	1.25
гэтай	175439	1892	218	5	1.25
падшыпнікі	175439	1892	6	1	1.21
дазваляюць	175439	1892	6	1	1.21
абодвух	175439	1892	6	1	1.21
мяжу	175439	1892	6	1	1.21
прыняцце	175439	1892	6	1	1.21
экран	175439	1892	6	1	1.21
большае	175439	1892	6	1	1.21
агульную	175439	1892	6	1	1.21
ўплываюць	175439	1892	6	1	1.21
канкурэнтаў	175439	1892	6	1	1.21
чатырох	175439	1892	6	1	1.21
электраэнергіі	175439	1892	6	1	1.21
святло	175439	1892	6	1	1.21
дыскурсіўная	175439	1892	6	1	1.21
баявыя	175439	1892	6	1	1.21
памеры	175439	1892	6	1	1.21
продаж	175439	1892	6	1	1.21
доступу	175439	1892	6	1	1.21
280	175439	1892	6	1	1.21
творчасці	175439	1892	6	1	1.21
абсталяваны	175439	1892	6	1	1.21
прапанаваць	175439	1892	6	1	1.21
верагодным	175439	1892	6	1	1.21
перавышае	175439	1892	6	1	1.21
jumper	175439	1892	6	1	1.21
вядомай	175439	1892	6	1	1.21
зорка	175439	1892	6	1	1.21
78	175439	1892	6	1	1.21
прадстаўлены	175439	1892	6	1	1.21
на	175439	1892	2946	34	1.19
што	175439	1892	1925	24	1.19
вышэй	175439	1892	42	2	1.19
аптымізаваць	175439	1892	7	1	1.15
прызначаны	175439	1892	7	1	1.15
меншай	175439	1892	7	1	1.15
ўласнае	175439	1892	7	1	1.15
даныя	175439	1892	7	1	1.15
пераходу	175439	1892	7	1	1.15
лагічна	175439	1892	7	1	1.15
wibotic	175439	1892	7	1	1.15
mazda	175439	1892	7	1	1.15
master	175439	1892	7	1	1.15
95	175439	1892	7	1	1.15
139	175439	1892	7	1	1.15
знаходзяцца	175439	1892	7	1	1.15
улічваючы	175439	1892	7	1	1.15
цыклам	175439	1892	7	1	1.15
смартфоны	175439	1892	7	1	1.15
цане	175439	1892	7	1	1.15
працягваць	175439	1892	7	1	1.15
прапаноўваць	175439	1892	7	1	1.15
электрамабіля	175439	1892	7	1	1.15
розніца	175439	1892	7	1	1.15
дасягае	175439	1892	7	1	1.15
словах	175439	1892	7	1	1.15
пратэставалі	175439	1892	7	1	1.15
паляпшэнні	175439	1892	7	1	1.15
інжынеры	175439	1892	7	1	1.15
падвойным	175439	1892	7	1	1.15
выйдзе	175439	1892	7	1	1.15
пакінуў	175439	1892	7	1	1.15
сцвярджае	175439	1892	7	1	1.15
нясе	175439	1892	7	1	1.15
бакоў	175439	1892	7	1	1.15
магчымым	175439	1892	7	1	1.15
кіравання	175439	1892	45	2	1.14
100	175439	1892	45	2	1.14
розныя	175439	1892	45	2	1.14
сістэма	175439	1892	48	2	1.10
1	175439	1892	175	4	1.10
электрычных	175439	1892	8	1	1.10
важныя	175439	1892	8	1	1.10
вады	175439	1892	8	1	1.10
прапановай	175439	1892	8	1	1.10
большага	175439	1892	8	1	1.10
энергію	175439	1892	8	1	1.10
пэўная	175439	1892	8	1	1.10
папярэднія	175439	1892	8	1	1.10
падзарадкі	175439	1892	8	1	1.10
гарантуе	175439	1892	8	1	1.10
варыянты	175439	1892	8	1	1.10
залежаць	175439	1892	8	1	1.10
79	175439	1892	8	1	1.10
цяжкі	175439	1892	8	1	1.10
коламі	175439	1892	8	1	1.10
станоўча	175439	1892	8	1	1.10
атрымліваць	175439	1892	8	1	1.10
дасягнулі	175439	1892	8	1	1.10
адзінае	175439	1892	8	1	1.10
esprinter	175439	1892	8	1	1.10
прадукцыйнасць	175439	1892	8	1	1.10
афіцыйна	175439	1892	8	1	1.10
таксама	175439	1892	254	5	1.08
два	175439	1892	51	2	1.06
менавіта	175439	1892	51	2	1.06
электрычнай	175439	1892	9	1	1.05
павышэння	175439	1892	9	1	1.05
прадукцыйнасці	175439	1892	9	1	1.05
элемент	175439	1892	9	1	1.05
porsche	175439	1892	9	1	1.05
складаць	175439	1892	9	1	1.05
абвясціла	175439	1892	9	1	1.05
другое	175439	1892	9	1	1.05
eqs	175439	1892	9	1	1.05
прапануюць	175439	1892	9	1	1.05
канцэпцыі	175439	1892	9	1	1.05
96	175439	1892	9	1	1.05
удзельнікаў	175439	1892	9	1	1.05
сходу	175439	1892	9	1	1.05
прылады	175439	1892	9	1	1.05
змяніць	175439	1892	9	1	1.05
ставіць	175439	1892	9	1	1.05
добрая	175439	1892	9	1	1.05
прычыне	175439	1892	9	1	1.05
прызнанне	175439	1892	9	1	1.05
range	175439	1892	9	1	1.05
plus	175439	1892	9	1	1.05
этапе	175439	1892	9	1	1.05
моманту	175439	1892	9	1	1.05
выпадку	175439	1892	52	2	1.05
напрыклад	175439	1892	53	2	1.04
годзе	175439	1892	188	4	1.03
аднак	175439	1892	117	3	1.02
яшчэ	175439	1892	272	5	1.02
каб	175439	1892	447	7	1.01
наступнага	175439	1892	10	1	1.01
renault	175439	1892	10	1	1.01
freebuds	175439	1892	10	1	1.01
патрабаванні	175439	1892	10	1	1.01
інтэлект	175439	1892	10	1	1.01
атрымалі	175439	1892	10	1	1.01
рэальная	175439	1892	10	1	1.01
доўгі	175439	1892	10	1	1.01
конскіх	175439	1892	10	1	1.01
павялічваецца	175439	1892	10	1	1.01
7	175439	1892	56	2	1.00
вытворца	175439	1892	11	1	0.97
акумулятараў	175439	1892	11	1	0.97
умоў	175439	1892	11	1	0.97
агульная	175439	1892	11	1	0.97
вышэйшая	175439	1892	11	1	0.97
тып	175439	1892	11	1	0.97
тлумачыць	175439	1892	11	1	0.97
формаў	175439	1892	11	1	0.97
пакаленні	175439	1892	11	1	0.97
honor	175439	1892	11	1	0.97
gb	175439	1892	11	1	0.97
сучасны	175439	1892	11	1	0.97
насуперак	175439	1892	11	1	0.97
64	175439	1892	11	1	0.97
citro	175439	1892	11	1	0.97
berlingo	175439	1892	11	1	0.97
моцны	175439	1892	11	1	0.97
нагоды	175439	1892	11	1	0.97
максімальная	175439	1892	11	1	0.97
які	175439	1892	287	5	0.97
гэтую	175439	1892	60	2	0.96
чынам	175439	1892	128	3	0.96
такім	175439	1892	131	3	0.94
прымаць	175439	1892	12	1	0.94
настойліва	175439	1892	12	1	0.94
volvo	175439	1892	12	1	0.94
пакалення	175439	1892	12	1	0.94
350	175439	1892	12	1	0.94
адрозненне	175439	1892	12	1	0.94
пэўную	175439	1892	12	1	0.94
