item	total	count part-1	specif part-1	count part-2	specif part-2
대	33	13	0.86	20	0.86
지역	33	17	1.20	16	-1.20
제공	33	18	1.42	15	-1.42
이를	32	7	-1.88	25	1.88
것은	32	5	-2.78	27	2.78
전근배	32	0	-7.26	32	7.26
10	31	10	-1.02	21	1.02
생활	31	5	-2.62	26	2.62
하는	31	11	-0.91	20	0.91
2025	30	18	1.82	12	-1.82
대상으로	30	6	-2.01	24	2.01
12	30	13	0.86	17	-0.86
한다	30	9	-1.12	21	1.12
아닌	30	4	-3.02	26	3.02
장애인의	29	4	-2.86	25	2.86
18	29	2	-4.30	27	4.30
마을	29	4	-2.86	25	2.86
자립을	29	1	-5.28	28	5.28
기반	28	22	4.38	6	-4.38
그	28	9	-0.99	19	0.99
년간	28	3	-3.33	25	3.33
40	27	6	-1.64	21	1.64
4	27	8	-1.09	19	1.09
20	27	5	-2.04	22	2.04
하고	27	11	0.81	16	0.81
강조했다	27	8	-1.09	19	1.09
30	27	13	0.95	14	-0.95
만원	27	2	-3.91	25	3.91
가운데	27	7	-1.32	20	1.32
경기도	27	2	-3.91	25	3.91
평가	26	13	1.01	13	-1.01
이상	26	2	-3.72	24	3.72
아니라	26	7	-1.23	19	1.23
라고	26	6	-1.52	20	1.52
사천시	26	26	10.16	0	-10.16
준비청년	26	0	-5.90	26	5.90
사무국장	26	0	-5.90	26	5.90
주행	25	25	9.77	0	-9.77
6	25	14	1.31	11	-1.31
주요	25	11	0.82	14	-0.82
바탕으로	25	4	-2.22	21	2.22
했다	25	10	0.79	15	0.79
수립	25	0	-5.67	25	5.67
다른	24	4	-2.07	20	2.07
조성	24	13	1.18	11	-1.18
또한	24	11	0.85	13	-0.85
넘어	24	11	0.85	13	-0.85
된다	24	17	2.69	7	-2.69
개별	24	5	-1.63	19	1.63
활동을	24	19	3.93	5	-3.93
8	24	6	-1.30	18	1.30
중	24	5	-1.63	19	1.63
아동복지시설	24	0	-5.45	24	5.45
학교	23	23	8.99	0	-8.99
제도	23	7	-0.97	16	0.97
강화	23	10	0.80	13	-0.80
500	23	5	-1.51	18	1.51
더	23	3	-2.46	20	2.46
자립준비	23	1	-4.02	22	4.02
관한	23	12	1.05	11	-1.05
현재	23	8	-0.84	15	0.84
아나운서	23	0	-5.22	23	5.22
내	22	12	1.14	10	-1.14
대해	22	9	0.77	13	0.77
활동	22	10	0.82	12	-0.82
생활을	22	4	-1.78	18	1.78
서울	22	9	0.77	13	0.77
설치	22	10	0.82	12	-0.82
우리	22	4	-1.78	18	1.78
인센티브를	22	7	-0.90	15	0.90
7	22	5	-1.39	17	1.39
김혜숙	22	0	-4.99	22	4.99
이러한	21	10	0.85	11	-0.85
로	21	12	1.26	9	-1.26
장애인이	21	1	-3.61	20	3.61
지원이	21	3	-2.13	18	2.13
최초의	21	10	0.85	11	-0.85
사업	21	11	1.02	10	-1.02
하지만	21	5	-1.27	16	1.27
이라며	21	6	-1.01	15	1.01
예정이다	21	10	0.85	11	-0.85
과	21	4	-1.64	17	1.64
2026	21	20	6.72	1	-6.72
때문에	21	5	-1.27	16	1.27
지원에	21	4	-1.64	17	1.64
억	21	10	0.85	11	-0.85
청소년	21	4	-1.64	17	1.64
뒤	20	7	-0.79	13	0.79
이어	20	7	-0.79	13	0.79
39	20	3	-1.97	17	1.97
같은	20	7	-0.79	13	0.79
17	20	5	-1.17	15	1.17
가장	20	4	-1.51	16	1.51
실제	20	18	5.21	2	-5.21
회장은	20	3	-1.97	17	1.97
재정	20	6	-0.93	14	0.93
와	20	10	0.91	10	-0.91
각종	20	6	-0.93	14	0.93
신수산	20	14	2.24	6	-2.24
그리고	20	3	-1.97	17	1.97
아동복지법	20	0	-4.54	20	4.54
연	20	0	-4.54	20	4.54
핵심	19	15	3.18	4	-3.18
위해서는	19	3	-1.82	16	1.82
대표	19	12	1.57	7	-1.57
모든	19	9	0.82	10	-0.82
어떤	19	4	-1.38	15	1.38
진정한	19	3	-1.82	16	1.82
지원은	19	2	-2.41	17	2.41
관련	19	8	0.74	11	0.74
대구사람장애인	19	0	-4.31	19	4.31
한편	18	9	0.87	9	-0.87
로봇	18	16	4.52	2	-4.52
우선	18	9	0.87	9	-0.87
기반을	18	15	3.63	3	-3.63
올해	18	4	-1.25	14	1.25
신재생에너지	18	6	-0.80	12	0.80
필요	18	7	0.73	11	0.73
서비스	18	8	0.75	10	-0.75
기술을	18	12	1.78	6	-1.78
스스로	18	13	2.28	5	-2.28
역량	18	3	-1.66	15	1.66
26	18	7	0.73	11	0.73
간	18	3	-1.66	15	1.66
지역사회	18	0	-4.08	18	4.08
정서적	18	0	-4.08	18	4.08
생활센터	18	0	-4.08	18	4.08
학년	18	0	-4.08	18	4.08
두	17	10	1.20	7	-1.20
24	17	4	-1.13	13	1.13
할	17	7	0.71	10	0.71
명의	17	11	1.57	6	-1.57
이런	17	7	0.71	10	0.71
등이	17	12	2.03	5	-2.03
바로	17	4	-1.13	13	1.13
점검	17	17	6.64	0	-6.64
운영하는	17	7	0.71	10	0.71
삶을	17	1	-2.79	16	2.79
자립의	17	2	-2.05	15	2.05
주우진	17	1	-2.79	16	2.79
여러	17	4	-1.13	13	1.13
아동을	17	0	-3.86	17	3.86
위탁	17	0	-3.86	17	3.86
자립정착금	17	0	-3.86	17	3.86
2021	17	0	-3.86	17	3.86
연락두절	17	0	-3.86	17	3.86
가	16	11	1.79	5	-1.79
경남	16	11	1.79	5	-1.79
에서	16	12	2.33	4	-2.33
높은	16	4	-1.02	12	1.02
이는	16	4	-1.02	12	1.02
구축	16	10	1.36	6	-1.36
전체	16	6	0.71	10	0.71
됐다	16	7	0.72	9	-0.72
것이다	16	6	0.71	10	0.71
전략적	16	12	2.33	4	-2.33
계획	16	4	-1.02	12	1.02
참여	16	11	1.79	5	-1.79
앞으로	16	7	0.72	9	-0.72
동시에	16	6	0.71	10	0.71
이라고	16	5	-0.81	11	0.81
충청북도	16	7	0.72	9	-0.72
건	16	3	-1.37	13	1.37
사회	16	2	-1.88	14	1.88
사람	16	0	-3.63	16	3.63
가정위탁	16	0	-3.63	16	3.63
당사자	16	0	-3.63	16	3.63
규제	15	15	5.86	0	-5.86
개발	15	11	2.07	4	-2.07
성인	15	6	0.69	9	0.69
스마트	15	10	1.56	5	-1.56
형	15	6	0.69	9	0.69
네	15	2	-1.71	13	1.71
그는	15	4	-0.92	11	0.92
라며	15	3	-1.24	12	1.24
데	15	7	0.74	8	-0.74
청년	15	5	-0.74	10	0.74
시설	15	3	-1.24	12	1.24
실시하고	15	3	-1.24	12	1.24
wfm	15	3	-1.24	12	1.24
인증을	15	5	-0.74	10	0.74
등의	15	4	-0.92	11	0.92
첫	15	4	-0.92	11	0.92
필요하다	15	2	-1.71	13	1.71
자립준비청년의	15	0	-3.40	15	3.40
본인의	15	0	-3.40	15	3.40
지급	15	0	-3.40	15	3.40
시설에	15	0	-3.40	15	3.40
자립생활	15	0	-3.40	15	3.40
제도가	15	0	-3.40	15	3.40
파악	15	0	-3.40	15	3.40
대구사람장애인자립생활센터	15	0	-3.40	15	3.40
사업은	14	7	0.79	7	-0.79
자율주행	14	10	1.81	4	-1.81
정책	14	3	-1.11	11	1.11
맞춤형	14	4	-0.83	10	0.83
교수	14	4	-0.83	10	0.83
될	14	7	0.79	7	-0.79
주거	14	2	-1.54	12	1.54
현장	14	11	2.42	3	-2.42
청년을	14	1	-2.19	13	2.19
11	14	9	1.35	5	-1.35
100	14	5	-0.69	9	0.69
프로젝트	14	10	1.81	4	-1.81
의원	14	9	1.35	5	-1.35
이하	14	1	-2.19	13	2.19
더욱	14	4	-0.83	10	0.83
자신의	14	4	-0.83	10	0.83
때	14	5	-0.69	9	0.69
지난해	14	6	0.68	8	0.68
중심의	14	9	1.35	5	-1.35
지원하는	14	3	-1.11	11	1.11
년에	14	2	-1.54	12	1.54
보호가	14	1	-2.19	13	2.19
최근	14	0	-3.18	14	3.18
가정	14	0	-3.18	14	3.18
자립준비청년협회	14	0	-3.18	14	3.18
사후관리	14	0	-3.18	14	3.18
자립수준평가	14	0	-3.18	14	3.18
특히	13	6	0.70	7	-0.70
전	13	7	0.86	6	-0.86
새로운	13	7	0.86	6	-0.86
어려움을	13	1	-2.00	12	2.00
속에서	13	9	1.57	4	-1.57
통한	13	3	-0.98	10	0.98
이에	13	6	0.70	7	-0.70
기준	13	2	-1.38	11	1.38
목적	13	2	-1.38	11	1.38
대상자	13	2	-1.38	11	1.38
주는	13	2	-1.38	11	1.38
컨설팅	13	7	0.86	6	-0.86
만큼	13	6	0.70	7	-0.70
이날	13	7	0.86	6	-0.86
차원에서	13	3	-0.98	10	0.98
계획이다	13	2	-1.38	11	1.38
의견을	13	13	5.08	0	-5.08
것을	13	2	-1.38	11	1.38
재생에너지	13	0	-2.95	13	2.95
여성	13	0	-2.95	13	2.95
사례관리회의	13	0	-2.95	13	2.95
따르면	12	4	-0.68	8	0.68
50	12	4	-0.68	8	0.68
국가	12	4	-0.68	8	0.68
후속	12	10	2.54	2	-2.54
으로	12	4	-0.68	8	0.68
물론	12	9	1.85	3	-1.85
적으로	12	10	2.54	2	-2.54
없이	12	4	-0.68	8	0.68
그래서	12	4	-0.68	8	0.68
역시	12	3	-0.87	9	0.87
국내	12	6	0.74	6	-0.74
공동	12	8	1.34	4	-1.34
시민	12	10	2.54	2	-2.54
따른	12	3	-0.87	9	0.87
방안을	12	4	-0.68	8	0.68
조사	12	6	0.74	6	-0.74
결과	12	6	0.74	6	-0.74
부산시는	12	4	-0.68	8	0.68
받는다	12	2	-1.23	10	1.23
선진화	12	12	4.69	0	-4.69
마련	12	4	-0.68	8	0.68
된	12	1	-1.81	11	1.81
군	12	5	0.64	7	0.64
비행	12	11	3.44	1	-3.44
유출	12	12	4.69	0	-4.69
자율규제	12	12	4.69	0	-4.69
인식	12	5	0.64	7	0.64
모니터링	12	4	-0.68	8	0.68
제도를	12	0	-2.72	12	2.72
자립수당	12	0	-2.72	12	2.72
곳	12	0	-2.72	12	2.72
시설에서	12	0	-2.72	12	2.72
자립면담	12	0	-2.72	12	2.72
윤도현	12	0	-2.72	12	2.72
연락	12	0	-2.72	12	2.72
약	11	6	0.81	5	-0.81
물류	11	8	1.59	3	-1.59
산업	11	8	1.59	3	-1.59
시스템	11	6	0.81	5	-0.81
등급을	11	4	0.63	7	0.63
과정에서	11	6	0.81	5	-0.81
lss	11	3	-0.77	8	0.77
상담	11	3	-0.77	8	0.77
단순한	11	2	-1.08	9	1.08
복지	11	5	0.65	6	-0.65
점에서	11	3	-0.77	8	0.77
아동의	11	2	-1.08	9	1.08
그동안	11	8	1.59	3	-1.59
동안	11	2	-1.08	9	1.08
없는	11	3	-0.77	8	0.77
진행	11	4	0.63	7	0.63
원	11	4	0.63	7	0.63
여	11	8	1.59	3	-1.59
되는	11	2	-1.08	9	1.08
회장	11	6	0.81	5	-0.81
자유롭게	11	6	0.81	5	-0.81
만드는	11	2	-1.08	9	1.08
여전히	11	5	0.65	6	-0.65
해당	11	8	1.59	3	-1.59
본	11	2	-1.08	9	1.08
교수는	11	2	-1.08	9	1.08
추진	11	3	-0.77	8	0.77
금지	11	5	0.65	6	-0.65
높이기	11	3	-0.77	8	0.77
한국에너지공단	11	5	0.65	6	-0.65
청주시	11	4	0.63	7	0.63
문제가	11	3	-0.77	8	0.77
대구시	11	11	4.30	0	-4.30
명이	11	4	0.63	7	0.63
드론	11	9	2.23	2	-2.23
것으로	11	5	0.65	6	-0.65
자본	11	11	4.30	0	-4.30
그룹	11	1	-1.62	10	1.62
필요가	11	2	-1.08	9	1.08
a	11	1	-1.62	10	1.62
명으로	11	1	-1.62	10	1.62
월부터	11	3	-0.77	8	0.77
25	11	2	-1.08	9	1.08
지원한다	11	0	-2.50	11	2.50
자원의	11	0	-2.50	11	2.50
시설을	11	0	-2.50	11	2.50
아동들의	11	0	-2.50	11	2.50
신설된	11	0	-2.50	11	2.50
2299	11	0	-2.50	11	2.50
예	11	0	-2.50	11	2.50
있다고	10	4	0.60	6	0.60
29	10	5	0.69	5	-0.69
설립	10	6	0.93	4	-0.93
적극	10	6	0.93	4	-0.93
상용화를	10	6	0.93	4	-0.93
만원의	10	3	-0.68	7	0.68
기반이	10	7	1.34	3	-1.34
관리	10	4	0.60	6	0.60
해	10	4	0.60	6	0.60
지속가능한	10	1	-1.43	9	1.43
다만	10	5	0.69	5	-0.69
부산	10	3	-0.68	7	0.68
신입생을	10	9	2.74	1	-2.74
실질적인	10	2	-0.94	8	0.94
열린	10	7	1.34	3	-1.34
학생들이	10	9	2.74	1	-2.74
돕는	10	3	-0.68	7	0.68
중심	10	10	3.91	0	-3.91
학생	10	9	2.74	1	-2.74
디지털	10	7	1.34	3	-1.34
그러나	10	2	-0.94	8	0.94
포함한	10	5	0.69	5	-0.69
미래교육	10	10	3.91	0	-3.91
현장에서	10	8	1.93	2	-1.93
사이	10	2	-0.94	8	0.94
의견	10	5	0.69	5	-0.69
체계	10	4	0.60	6	0.60
있고	10	5	0.69	5	-0.69
합동안전점검을	10	10	3.91	0	-3.91
재난	10	10	3.91	0	-3.91
자율방재단	10	10	3.91	0	-3.91
진행했다	10	2	-0.94	8	0.94
잘	10	3	-0.68	7	0.68
지금	10	3	-0.68	7	0.68
저작권자	10	2	-0.94	8	0.94
관리어업	10	10	3.91	0	-3.91
인력을	10	4	0.60	6	0.60
인센티브	10	3	-0.68	7	0.68
이장섭	10	4	0.60	6	0.60
발굴을	10	1	-1.43	9	1.43
마을의	10	3	-0.68	7	0.68
경제	10	2	-0.94	8	0.94
방안	10	1	-1.43	9	1.43
자율방범대	10	10	3.91	0	-3.91
개인정보	10	10	3.91	0	-3.91
뉴시스	10	10	3.91	0	-3.91
않고	10	3	-0.68	7	0.68
38	10	1	-1.43	9	1.43
가능한	10	3	-0.68	7	0.68
안전한	10	1	-1.43	9	1.43
기준으로	10	1	-1.43	9	1.43
연계	10	0	-2.27	10	2.27
안정적인	10	0	-2.27	10	2.27
자립지원전담기관의	10	0	-2.27	10	2.27
아동양육시설	10	0	-2.27	10	2.27
공동생활가정	10	0	-2.27	10	2.27
홈페이지	10	0	-2.27	10	2.27
의료비	10	0	-2.27	10	2.27
이야기를	10	0	-2.27	10	2.27
탈시설	10	0	-2.27	10	2.27
사는	10	0	-2.27	10	2.27
장애인들이	10	0	-2.27	10	2.27
기간이	10	0	-2.27	10	2.27
아동에게	10	0	-2.27	10	2.27
닿지	10	0	-2.27	10	2.27
이상의	9	4	0.60	5	0.60
서비스가	9	5	0.76	4	-0.76
민간	9	9	3.52	0	-3.52
지원할	9	2	-0.81	7	0.81
적	9	9	3.52	0	-3.52
제도적	9	4	0.60	5	0.60
조치의	9	7	1.63	2	-1.63
전문가	9	3	-0.61	6	0.61
받을	9	1	-1.25	8	1.25
매우	9	2	-0.81	7	0.81
개인	9	2	-0.81	7	0.81
외에도	9	2	-0.81	7	0.81
자립이	9	2	-0.81	7	0.81
좋은	9	4	0.60	5	0.60
등에서	9	3	-0.61	6	0.61
체계를	9	4	0.60	5	0.60
지원해	9	2	-0.81	7	0.81
설명했다	9	2	-0.81	7	0.81
내용을	9	3	-0.61	6	0.61
온	9	4	0.60	5	0.60
모델로	9	7	1.63	2	-1.63
문을	9	7	1.63	2	-1.63
경험을	9	4	0.60	5	0.60
k	9	5	0.76	4	-0.76
찾아	9	6	1.10	3	-1.10
조례	9	9	3.52	0	-3.52
운영에	9	7	1.63	2	-1.63
동맹	9	5	0.76	4	-0.76
과제	9	9	3.52	0	-3.52
중심으로	9	8	2.40	1	-2.40
인공지능	9	6	1.10	3	-1.10
진행하는	9	1	-1.25	8	1.25
계획을	9	3	-0.61	6	0.61
도	9	2	-0.81	7	0.81
가능하다	9	5	0.76	4	-0.76
가졌다	9	7	1.63	2	-1.63
필수	9	3	-0.61	6	0.61
증빙	9	2	-0.81	7	0.81
지속	9	5	0.76	4	-0.76
계획이라고	9	8	2.40	1	-2.40
청주	9	3	-0.61	6	0.61
억원이	9	3	-0.61	6	0.61
유휴공간에	9	2	-0.81	7	0.81
높이고	9	5	0.76	4	-0.76
참여를	9	4	0.60	5	0.60
많은	9	4	0.60	5	0.60
살아갈	9	1	-1.25	8	1.25
보육원	9	1	-1.25	8	1.25
홀로서기에	9	1	-1.25	8	1.25
비롯한	9	3	-0.61	6	0.61
진행됐다	9	3	-0.61	6	0.61
경쟁력	9	6	1.10	3	-1.10
특별법	9	1	-1.25	8	1.25
목표로	9	4	0.60	5	0.60
이유로	9	7	1.63	2	-1.63
과징금을	9	9	3.52	0	-3.52
최대	9	4	0.60	5	0.60
집	9	1	-1.25	8	1.25
정부는	9	2	-0.81	7	0.81
35	9	1	-1.25	8	1.25
202	9	1	-1.25	8	1.25
많다	9	0	-2.04	9	2.04
사회적응과	9	0	-2.04	9	2.04
지원근거	9	0	-2.04	9	2.04
퇴소	9	0	-2.04	9	2.04
삶의	9	0	-2.04	9	2.04
19	9	0	-2.04	9	2.04
협의체는	9	0	-2.04	9	2.04
효율적인	9	0	-2.04	9	2.04
주	9	0	-2.04	9	2.04
sns	9	0	-2.04	9	2.04
행정데이터를	9	0	-2.04	9	2.04
자립준비청년을	9	0	-2.04	9	2.04
종료된	9	0	-2.04	9	2.04
보호유형에	9	0	-2.04	9	2.04
중등부	9	0	-2.04	9	2.04
고등부	9	0	-2.04	9	2.04
이내의	9	0	-2.04	9	2.04
청년에게	9	0	-2.04	9	2.04
1395	9	0	-2.04	9	2.04
사람은	9	0	-2.04	9	2.04
맞습니다	9	0	-2.04	9	2.04
등급	8	8	3.13	0	-3.13
제도다	8	4	0.62	4	-0.62
정책을	8	1	-1.08	7	1.08
대비	8	5	0.89	3	-0.89
신규	8	6	1.35	2	-1.35
서비스를	8	7	2.06	1	-2.06
제공한다	8	4	0.62	4	-0.62
있어	8	5	0.89	3	-0.89
맞춤	8	1	-1.08	7	1.08
제공되는	8	2	-0.69	6	0.69
가능하도록	8	5	0.89	3	-0.89
적극적으로	8	2	-0.69	6	0.69
기반의	8	6	1.35	2	-1.35
방식으로	8	6	1.35	2	-1.35
지속적으로	8	6	1.35	2	-1.35
경우	8	3	0.56	5	0.56
문제	8	2	-0.69	6	0.69
전문가들은	8	5	0.89	3	-0.89
프로그램	8	4	0.62	4	-0.62
14	8	5	0.89	3	-0.89
기사	8	6	1.35	2	-1.35
2023	8	3	0.56	5	0.56
화산중학교는	8	8	3.13	0	-3.13
큰	8	5	0.89	3	-0.89
운영하고	8	4	0.62	4	-0.62
소개해	8	3	0.56	5	0.56
사학을	8	5	0.89	3	-0.89
학부모회	8	8	3.13	0	-3.13
맞는	8	8	3.13	0	-3.13
내용은	8	5	0.89	3	-0.89
이라는	8	6	1.35	2	-1.35
의원은	8	5	0.89	3	-0.89
오히려	8	2	-0.69	6	0.69
현실	8	2	-0.69	6	0.69
정부가	8	5	0.89	3	-0.89
환경	8	8	3.13	0	-3.13
서	8	8	3.13	0	-3.13
겪는	8	1	-1.08	7	1.08
확대하고	8	8	3.13	0	-3.13
개선	8	5	0.89	3	-0.89
파이낸셜뉴스	8	8	3.13	0	-3.13
국토안전관리원은	8	8	3.13	0	-3.13
실시했다고	8	8	3.13	0	-3.13
제공하는	8	1	-1.08	7	1.08
있었다	8	2	-0.69	6	0.69
선정된	8	4	0.62	4	-0.62
이용자	8	6	1.35	2	-1.35
어업인	8	8	3.13	0	-3.13
자율관리어업	8	8	3.13	0	-3.13
에너지데일리	8	2	-0.69	6	0.69
고재영	8	2	-0.69	6	0.69
자율인증	8	1	-1.08	7	1.08
강서생태마을을	8	2	-0.69	6	0.69
예산은	8	2	-0.69	6	0.69
1900	8	1	-1.08	7	1.08
우리나라	8	3	0.56	5	0.56
강서생태마을	8	1	-1.08	7	1.08
문화	8	1	-1.08	7	1.08
해서	8	4	0.62	4	-0.62
않는다는	8	2	-0.69	6	0.69
때문이다	8	4	0.62	4	-0.62
제대로	8	1	-1.08	7	1.08
법적	8	6	1.35	2	-1.35
과징금	8	8	3.13	0	-3.13
13	8	2	-0.69	6	0.69
원에서	8	3	0.56	5	0.56
활용	8	2	-0.69	6	0.69
일동제약	8	8	3.13	0	-3.13
공정위	8	8	3.13	0	-3.13
사진	8	7	2.06	1	-2.06
게	8	1	-1.08	7	1.08
그런	8	2	-0.69	6	0.69
수행하는	8	5	0.89	3	-0.89
제주	8	2	-0.69	6	0.69
공간	8	5	0.89	3	-0.89
qnx	8	8	3.13	0	-3.13
준비	8	0	-1.81	8	1.81
멘티	8	0	-1.81	8	1.81
자립실현	8	0	-1.81	8	1.81
보호종료된	8	0	-1.81	8	1.81
사회에	8	0	-1.81	8	1.81
자립지원을	8	0	-1.81	8	1.81
000	8	0	-1.81	8	1.81
보호연장아동	8	0	-1.81	8	1.81
보호아동	8	0	-1.81	8	1.81
관계적	8	0	-1.81	8	1.81
어느	8	0	-1.81	8	1.81
경우가	8	0	-1.81	8	1.81
양은	8	0	-1.81	8	1.81
실태	8	0	-1.81	8	1.81
못하는	8	0	-1.81	8	1.81
대구시는	8	0	-1.81	8	1.81
농협중앙회는	8	0	-1.81	8	1.81
체계적인	8	0	-1.81	8	1.81
일자리	8	0	-1.81	8	1.81
출신	8	0	-1.81	8	1.81
당사자들이	8	0	-1.81	8	1.81
명은	8	0	-1.81	8	1.81
사각지대	8	0	-1.81	8	1.81
사람들을	8	0	-1.81	8	1.81
생활의	8	0	-1.81	8	1.81
활보활보	8	0	-1.81	8	1.81
자립에	8	0	-1.81	8	1.81
혼자	8	0	-1.81	8	1.81
보육	8	0	-1.81	8	1.81
시도에	8	0	-1.81	8	1.81
이성남	8	0	-1.81	8	1.81
차지했다	8	0	-1.81	8	1.81
자기	8	0	-1.81	8	1.81
대규모	7	6	1.73	1	-1.73
가지	7	2	-0.59	5	0.59
글로벌	7	5	1.08	2	-1.08
새롭게	7	4	0.70	3	-0.70
보여주는	7	7	2.73	0	-2.73
미국	7	7	2.73	0	-2.73
미래	7	6	1.73	1	-1.73
인간	7	6	1.73	1	-1.73
태양광	7	2	-0.59	5	0.59
규모의	7	5	1.08	2	-1.08
지자체	7	2	-0.59	5	0.59
높이는	7	3	0.53	4	0.53
비율이	7	2	-0.59	5	0.59
gdp	7	3	0.53	4	0.53
국회	7	4	0.70	3	-0.70
자동차	7	5	1.08	2	-1.08
1000	7	6	1.73	1	-1.73
성과	7	6	1.73	1	-1.73
대부분	7	2	-0.59	5	0.59
이와	7	5	1.08	2	-1.08
실현하는	7	1	-0.91	6	0.91
중요한	7	4	0.70	3	-0.70
성을	7	7	2.73	0	-2.73
시간	7	4	0.70	3	-0.70
사례다	7	1	-0.91	6	0.91
구현해	7	4	0.70	3	-0.70
인프라	7	4	0.70	3	-0.70
주차	7	4	0.70	3	-0.70
도시	7	2	-0.59	5	0.59
예방	7	4	0.70	3	-0.70
학업	7	4	0.70	3	-0.70
정서	7	1	-0.91	6	0.91
시간을	7	3	0.53	4	0.53
회사는	7	6	1.73	1	-1.73
시범사업	7	1	-0.91	6	0.91
60	7	2	-0.59	5	0.59
군인자녀	7	7	2.73	0	-2.73
내년	7	6	1.73	1	-1.73
모집한다	7	6	1.73	1	-1.73
합니다	7	4	0.70	3	-0.70
필요성이	7	3	0.53	4	0.53
환경을	7	3	0.53	4	0.53
2005	7	6	1.73	1	-1.73
수업	7	7	2.73	0	-2.73
교육과정	7	7	2.73	0	-2.73
학생의	7	7	2.73	0	-2.73
회로	7	7	2.73	0	-2.73
왔다	7	6	1.73	1	-1.73
학부모	7	7	2.73	0	-2.73
있음을	7	2	-0.59	5	0.59
금융	7	5	1.08	2	-1.08
농업	7	6	1.73	1	-1.73
면서	7	6	1.73	1	-1.73
정책과	7	2	-0.59	5	0.59
각	7	6	1.73	1	-1.73
사례	7	3	0.53	4	0.53
방향을	7	5	1.08	2	-1.08
추진한다고	7	5	1.08	2	-1.08
지난달	7	3	0.53	4	0.53
시민의	7	5	1.08	2	-1.08
있지만	7	5	1.08	2	-1.08
만수	7	7	2.73	0	-2.73
오후	7	3	0.53	4	0.53
앞서	7	2	-0.59	5	0.59
의미	7	1	-0.91	6	0.91
출범한	7	6	1.73	1	-1.73
예방과	7	7	2.73	0	-2.73
복구	7	7	2.73	0	-2.73
방범대	7	7	2.73	0	-2.73
다시	7	1	-0.91	6	0.91
청년이	7	1	-0.91	6	0.91
교육을	7	2	-0.59	5	0.59
성장과	7	5	1.08	2	-1.08
사립고	7	4	0.70	3	-0.70
재배포	7	2	-0.59	5	0.59
일환으로	7	4	0.70	3	-0.70
중점	7	4	0.70	3	-0.70
추진할	7	7	2.73	0	-2.73
변국영	7	2	-0.59	5	0.59
취득한	7	2	-0.59	5	0.59
자율인증제	7	2	-0.59	5	0.59
개최했다	7	5	1.08	2	-1.08
마을에	7	1	-0.91	6	0.91
보조금	7	2	-0.59	5	0.59
인	7	4	0.70	3	-0.70
전년보다	7	1	-0.91	6	0.91
대폭	7	1	-0.91	6	0.91
보급사업을	7	1	-0.91	6	0.91
토대로	7	1	-0.91	6	0.91
