token	corpus size	all contexts size	frequency	co-frequency	specificity
дыскурсіўная	175444	1892	6	1	1.21
баявыя	175444	1892	6	1	1.21
памеры	175444	1892	6	1	1.21
продаж	175444	1892	6	1	1.21
доступу	175444	1892	6	1	1.21
280	175444	1892	6	1	1.21
творчасці	175444	1892	6	1	1.21
абсталяваны	175444	1892	6	1	1.21
прапанаваць	175444	1892	6	1	1.21
верагодным	175444	1892	6	1	1.21
перавышае	175444	1892	6	1	1.21
jumper	175444	1892	6	1	1.21
вядомай	175444	1892	6	1	1.21
зорка	175444	1892	6	1	1.21
78	175444	1892	6	1	1.21
прадстаўлены	175444	1892	6	1	1.21
на	175444	1892	2946	34	1.19
што	175444	1892	1925	24	1.19
вышэй	175444	1892	42	2	1.19
аптымізаваць	175444	1892	7	1	1.15
прызначаны	175444	1892	7	1	1.15
меншай	175444	1892	7	1	1.15
ўласнае	175444	1892	7	1	1.15
даныя	175444	1892	7	1	1.15
пераходу	175444	1892	7	1	1.15
лагічна	175444	1892	7	1	1.15
wibotic	175444	1892	7	1	1.15
mazda	175444	1892	7	1	1.15
master	175444	1892	7	1	1.15
95	175444	1892	7	1	1.15
139	175444	1892	7	1	1.15
знаходзяцца	175444	1892	7	1	1.15
улічваючы	175444	1892	7	1	1.15
цыклам	175444	1892	7	1	1.15
смартфоны	175444	1892	7	1	1.15
цане	175444	1892	7	1	1.15
працягваць	175444	1892	7	1	1.15
прапаноўваць	175444	1892	7	1	1.15
электрамабіля	175444	1892	7	1	1.15
розніца	175444	1892	7	1	1.15
дасягае	175444	1892	7	1	1.15
словах	175444	1892	7	1	1.15
пратэставалі	175444	1892	7	1	1.15
паляпшэнні	175444	1892	7	1	1.15
інжынеры	175444	1892	7	1	1.15
падвойным	175444	1892	7	1	1.15
выйдзе	175444	1892	7	1	1.15
пакінуў	175444	1892	7	1	1.15
сцвярджае	175444	1892	7	1	1.15
нясе	175444	1892	7	1	1.15
бакоў	175444	1892	7	1	1.15
магчымым	175444	1892	7	1	1.15
кіравання	175444	1892	45	2	1.14
100	175444	1892	45	2	1.14
розныя	175444	1892	45	2	1.14
сістэма	175444	1892	48	2	1.10
1	175444	1892	175	4	1.10
электрычных	175444	1892	8	1	1.10
важныя	175444	1892	8	1	1.10
вады	175444	1892	8	1	1.10
прапановай	175444	1892	8	1	1.10
большага	175444	1892	8	1	1.10
энергію	175444	1892	8	1	1.10
пэўная	175444	1892	8	1	1.10
папярэднія	175444	1892	8	1	1.10
падзарадкі	175444	1892	8	1	1.10
гарантуе	175444	1892	8	1	1.10
варыянты	175444	1892	8	1	1.10
залежаць	175444	1892	8	1	1.10
79	175444	1892	8	1	1.10
цяжкі	175444	1892	8	1	1.10
коламі	175444	1892	8	1	1.10
станоўча	175444	1892	8	1	1.10
атрымліваць	175444	1892	8	1	1.10
дасягнулі	175444	1892	8	1	1.10
адзінае	175444	1892	8	1	1.10
esprinter	175444	1892	8	1	1.10
прадукцыйнасць	175444	1892	8	1	1.10
афіцыйна	175444	1892	8	1	1.10
таксама	175444	1892	254	5	1.08
два	175444	1892	51	2	1.06
менавіта	175444	1892	51	2	1.06
электрычнай	175444	1892	9	1	1.05
павышэння	175444	1892	9	1	1.05
прадукцыйнасці	175444	1892	9	1	1.05
элемент	175444	1892	9	1	1.05
porsche	175444	1892	9	1	1.05
складаць	175444	1892	9	1	1.05
абвясціла	175444	1892	9	1	1.05
другое	175444	1892	9	1	1.05
eqs	175444	1892	9	1	1.05
прапануюць	175444	1892	9	1	1.05
канцэпцыі	175444	1892	9	1	1.05
96	175444	1892	9	1	1.05
удзельнікаў	175444	1892	9	1	1.05
сходу	175444	1892	9	1	1.05
прылады	175444	1892	9	1	1.05
змяніць	175444	1892	9	1	1.05
ставіць	175444	1892	9	1	1.05
добрая	175444	1892	9	1	1.05
прычыне	175444	1892	9	1	1.05
прызнанне	175444	1892	9	1	1.05
range	175444	1892	9	1	1.05
plus	175444	1892	9	1	1.05
этапе	175444	1892	9	1	1.05
моманту	175444	1892	9	1	1.05
выпадку	175444	1892	52	2	1.05
напрыклад	175444	1892	53	2	1.04
годзе	175444	1892	188	4	1.03
аднак	175444	1892	117	3	1.02
яшчэ	175444	1892	272	5	1.02
каб	175444	1892	447	7	1.01
наступнага	175444	1892	10	1	1.01
renault	175444	1892	10	1	1.01
freebuds	175444	1892	10	1	1.01
патрабаванні	175444	1892	10	1	1.01
інтэлект	175444	1892	10	1	1.01
атрымалі	175444	1892	10	1	1.01
рэальная	175444	1892	10	1	1.01
доўгі	175444	1892	10	1	1.01
конскіх	175444	1892	10	1	1.01
павялічваецца	175444	1892	10	1	1.01
7	175444	1892	56	2	1.00
вытворца	175444	1892	11	1	0.97
акумулятараў	175444	1892	11	1	0.97
умоў	175444	1892	11	1	0.97
агульная	175444	1892	11	1	0.97
вышэйшая	175444	1892	11	1	0.97
тып	175444	1892	11	1	0.97
тлумачыць	175444	1892	11	1	0.97
формаў	175444	1892	11	1	0.97
пакаленні	175444	1892	11	1	0.97
honor	175444	1892	11	1	0.97
gb	175444	1892	11	1	0.97
сучасны	175444	1892	11	1	0.97
насуперак	175444	1892	11	1	0.97
64	175444	1892	11	1	0.97
citro	175444	1892	11	1	0.97
berlingo	175444	1892	11	1	0.97
моцны	175444	1892	11	1	0.97
нагоды	175444	1892	11	1	0.97
максімальная	175444	1892	11	1	0.97
які	175444	1892	287	5	0.97
гэтую	175444	1892	60	2	0.96
чынам	175444	1892	128	3	0.96
такім	175444	1892	131	3	0.94
прымаць	175444	1892	12	1	0.94
настойліва	175444	1892	12	1	0.94
volvo	175444	1892	12	1	0.94
пакалення	175444	1892	12	1	0.94
350	175444	1892	12	1	0.94
адрозненне	175444	1892	12	1	0.94
пэўную	175444	1892	12	1	0.94
