item	total	count part-1	specif part-1	count part-2	specif part-2
zaman	20	2	-1.90	18	1.90
birlikte	20	5	-0.86	15	0.86
böylece	20	2	-1.90	18	1.90
i̇spanya	20	0	-3.60	20	3.60
11	19	6	0.72	13	0.72
geniş	19	9	1.06	10	-1.06
yapılan	19	4	-0.99	15	0.99
bağlı	19	3	-1.30	16	1.30
altında	19	6	0.72	13	0.72
ilk	19	8	0.86	11	-0.86
başka	19	11	1.73	8	-1.73
sözcüğü	19	10	1.35	9	-1.35
muhtariyet	19	10	1.35	9	-1.35
arşivlendi	19	4	-0.99	15	0.99
kavramı	19	9	1.06	10	-1.06
kamu	19	2	-1.76	17	1.76
öz	19	5	-0.80	14	0.80
vardır	19	6	0.72	13	0.72
çıkan	18	9	1.16	9	-1.16
doğrultusunda	18	4	-0.91	14	0.91
edilen	18	11	1.92	7	-1.92
nisan	18	8	0.92	10	-0.92
olma	18	3	-1.20	15	1.20
yeniden	18	8	0.92	10	-0.92
amacıyla	18	4	-0.91	14	0.91
yönetimi	18	4	-0.91	14	0.91
önem	18	2	-1.63	16	1.63
eğitim	18	10	1.50	8	-1.50
nedenle	18	0	-3.24	18	3.24
sekel	18	0	-3.24	18	3.24
önemli	17	6	0.70	11	0.70
alan	17	6	0.70	11	0.70
olmadan	17	7	0.80	10	-0.80
türkiye’nin	17	7	0.80	10	-0.80
söz	17	3	-1.09	14	1.09
oldu	17	7	0.80	10	-0.80
etnik	17	1	-2.12	16	2.12
macar	17	1	-2.12	16	2.12
gelen	17	3	-1.09	14	1.09
romanya	17	0	-3.06	17	3.06
galiçya	17	0	-3.06	17	3.06
uygun	16	5	0.69	11	0.69
bölgenin	16	1	-1.96	15	1.96
birçok	16	9	1.43	7	-1.43
kadar	16	5	0.69	11	0.69
kapsar	16	2	-1.38	14	1.38
otonomisi	16	16	7.52	0	-7.52
hiçbir	16	4	-0.78	12	0.78
olmuştur	16	1	-1.96	15	1.96
ulusal	16	2	-1.38	14	1.38
özel	16	2	-1.38	14	1.38
kullanılmaktadır	16	12	3.10	4	-3.10
ülkeler	16	4	-0.78	12	0.78
öğreniminde	16	16	7.52	0	-7.52
özerkliğe	16	1	-1.96	15	1.96
aile	16	2	-1.38	14	1.38
mart	16	0	-2.88	16	2.88
benlik	16	0	-2.88	16	2.88
tamamen	15	9	1.61	6	-1.61
ekim	15	2	-1.26	13	1.26
erişim	15	5	0.67	10	0.67
iyi	15	5	0.67	10	0.67
görev	15	7	0.92	8	-0.92
yönetebilme	15	10	2.12	5	-2.12
yetisi	15	9	1.61	6	-1.61
dolayısıyla	15	7	0.92	8	-0.92
bireylerin	15	13	4.45	2	-4.45
dayanan	15	3	-0.91	12	0.91
dışında	15	8	1.21	7	-1.21
belirli	15	7	0.92	8	-0.92
irak	15	2	-1.26	13	1.26
öğrenci	15	11	2.75	4	-2.75
önce	15	9	1.61	6	-1.61
1936	15	1	-1.81	14	1.81
gerekli	15	2	-1.26	13	1.26
ülke	15	0	-2.70	15	2.70
1970	15	0	-2.70	15	2.70
2016	15	0	-2.70	15	2.70
otonomiyi	14	13	5.14	1	-5.14
6	14	3	-0.83	11	0.83
açık	14	10	2.42	4	-2.42
kullanılan	14	12	4.04	2	-4.04
sözcüğünden	14	10	2.42	4	-2.42
üzerine	14	10	2.42	4	-2.42
15	14	1	-1.66	13	1.66
ele	14	7	1.01	7	-1.01
gündeme	14	0	-2.52	14	2.52
siyasal	14	0	-2.52	14	2.52
belirlenmiş	14	0	-2.52	14	2.52
yönetimin	14	0	-2.52	14	2.52
gagavuz	14	0	-2.52	14	2.52
madde	13	3	-0.75	10	0.75
fransızca	13	8	1.55	5	-1.55
7	13	5	0.68	8	-0.68
stratejik	13	9	2.09	4	-2.09
yani	13	9	2.09	4	-2.09
savunma	13	9	2.09	4	-2.09
savaş	13	5	0.68	8	-0.68
bütün	13	1	-1.51	12	1.51
şey	13	13	6.11	0	-6.11
durumdan	13	9	2.09	4	-2.09
gelir	13	7	1.13	6	-1.13
gelişim	13	9	2.09	4	-2.09
kürtler	13	2	-1.03	11	1.03
anlamı	13	5	0.68	8	-0.68
ortadan	13	4	0.64	9	0.64
uygulamaları	13	1	-1.51	12	1.51
özerkliğini	13	0	-2.34	13	2.34
meti	13	0	-2.34	13	2.34
bölücü	13	0	-2.34	13	2.34
otonomiler	12	9	2.43	3	-2.43
burada	12	5	0.71	7	-0.71
tek	12	8	1.78	4	-1.78
olduğunu	12	7	1.29	5	-1.29
şu	12	4	0.62	8	0.62
bölgede	12	1	-1.37	11	1.37
bilinen	12	2	-0.92	10	0.92
kelime	12	10	3.24	2	-3.24
açıktır	12	7	1.29	5	-1.29
ama	12	3	-0.69	9	0.69
devam	12	4	0.62	8	0.62
aktif	12	11	4.27	1	-4.27
elde	12	6	0.93	6	-0.93
kurulu	12	6	0.93	6	-0.93
talep	12	9	2.43	3	-2.43
antlaşması	12	1	-1.37	11	1.37
bağımsızlık	12	3	-0.69	9	0.69
kontrol	12	6	0.93	6	-0.93
bilinçli	12	7	1.29	5	-1.29
yaygın	12	6	0.93	6	-0.93
25	12	4	0.62	8	0.62
birey	12	8	1.78	4	-1.78
bunun	12	1	-1.37	11	1.37
serbest	12	1	-1.37	11	1.37
üniversitelerin	12	0	-2.16	12	2.16
yasal	12	0	-2.16	12	2.16
yönetimlere	12	0	-2.16	12	2.16
land	12	0	-2.16	12	2.16
moldova	12	0	-2.16	12	2.16
hale	11	7	1.49	4	-1.49
zeka	11	10	3.84	1	-3.84
bireysel	11	10	3.84	1	-3.84
bile	11	9	2.85	2	-2.85
durum	11	4	0.62	7	0.62
zek	11	11	5.17	0	-5.17
12	11	1	-1.23	10	1.23
insan	11	5	0.76	6	-0.76
milli	11	4	0.62	7	0.62
başlayan	11	10	3.84	1	-3.84
öğrenciler	11	10	3.84	1	-3.84
yüzden	11	3	-0.63	8	0.63
başta	11	3	-0.63	8	0.63
öne	11	4	0.62	7	0.62
yapı	11	6	1.05	5	-1.05
çeşitli	11	8	2.08	3	-2.08
iç	11	4	0.62	7	0.62
merkez	11	2	-0.82	9	0.82
politika	11	8	2.08	3	-2.08
altına	11	1	-1.23	10	1.23
ortak	11	8	2.08	3	-2.08
sonrasında	11	4	0.62	7	0.62
özgürce	11	2	-0.82	9	0.82
yasa	11	2	-0.82	9	0.82
kavramının	11	4	0.62	7	0.62
s	11	4	0.62	7	0.62
aralık	11	2	-0.82	9	0.82
1991	11	3	-0.63	8	0.63
kendileri	11	2	-0.82	9	0.82
işlerini	11	2	-0.82	9	0.82
ayrı	11	3	-0.63	8	0.63
2014	11	0	-1.98	11	1.98
kürdistan	11	0	-1.98	11	1.98
personel	11	0	-1.98	11	1.98
yasalar	11	0	-1.98	11	1.98
resmi	11	0	-1.98	11	1.98
yetki	11	0	-1.98	11	1.98
devletinin	11	0	-1.98	11	1.98
şartının	11	0	-1.98	11	1.98
düzenle	10	8	2.47	2	-2.47
sırp	10	6	1.22	4	-1.22
operasyonel	10	10	4.70	0	-4.70
a	10	1	-1.09	9	1.09
durumu	10	4	0.64	6	-0.64
herhangi	10	5	0.85	5	-0.85
kısa	10	4	0.64	6	-0.64
psikolojik	10	3	0.59	7	0.59
sistemi	10	6	1.22	4	-1.22
özellikleri	10	6	1.22	4	-1.22
gönüllü	10	5	0.85	5	-0.85
mobed	10	10	4.70	0	-4.70
başkanı	10	6	1.22	4	-1.22
biten	10	10	4.70	0	-4.70
i	10	6	1.22	4	-1.22
itibaren	10	9	3.41	1	-3.41
alanı	10	6	1.22	4	-1.22
yalnızca	10	4	0.64	6	-0.64
temsil	10	3	0.59	7	0.59
deyişle	10	10	4.70	0	-4.70
olmayan	10	6	1.22	4	-1.22
durumda	10	4	0.64	6	-0.64
zorlanmadan	10	6	1.22	4	-1.22
felsefe	10	6	1.22	4	-1.22
kişinin	10	5	0.85	5	-0.85
anlamda	10	5	0.85	5	-0.85
bakış	10	6	1.22	4	-1.22
işçi	10	10	4.70	0	-4.70
mayıs	10	4	0.64	6	-0.64
kalan	10	2	-0.72	8	0.72
üst	10	1	-1.09	9	1.09
gelmez	10	1	-1.09	9	1.09
sermaye	10	0	-1.80	10	1.80
üzerinde	10	0	-1.80	10	1.80
partisi	10	0	-1.80	10	1.80
20	10	0	-1.80	10	1.80
üniversite	10	0	-1.80	10	1.80
tehdit	10	0	-1.80	10	1.80
üniversiteler	10	0	-1.80	10	1.80
bulunmaktadır	10	0	-1.80	10	1.80
26	10	0	-1.80	10	1.80
8	10	0	-1.80	10	1.80
halkın	10	0	-1.80	10	1.80
anayasa	10	0	-1.80	10	1.80
onların	10	0	-1.80	10	1.80
hukuki	10	0	-1.80	10	1.80
h	9	7	2.09	2	-2.09
doğrultuda	9	3	0.56	6	0.56
hazır	9	9	4.23	0	-4.23
açılan	9	3	0.56	6	0.56
m	9	7	2.09	2	-2.09
otonomiye	9	9	4.23	0	-4.23
garanti	9	3	0.56	6	0.56
iş	9	5	0.97	4	-0.97
gelişmiş	9	7	2.09	2	-2.09
ettiği	9	2	-0.64	7	0.64
alanlarda	9	5	0.97	4	-0.97
bulunan	9	4	0.68	5	-0.68
ana	9	3	0.56	6	0.56
ederek	9	2	-0.64	7	0.64
verilen	9	2	-0.64	7	0.64
sahibi	9	1	-0.95	8	0.95
kamuoyuna	9	2	-0.64	7	0.64
siyaset	9	3	0.56	6	0.56
yapısını	9	2	-0.64	7	0.64
kaynağından	9	4	0.68	5	-0.68
talepleri	9	3	0.56	6	0.56
konusu	9	2	-0.64	7	0.64
kullanılması	9	5	0.97	4	-0.97
ekonomik	9	6	1.43	3	-1.43
halk	9	1	-0.95	8	0.95
tekrar	9	2	-0.64	7	0.64
psikolojisi	9	8	2.98	1	-2.98
gerekmektedir	9	4	0.68	5	-0.68
gerekirse	9	4	0.68	5	-0.68
yok	9	1	-0.95	8	0.95
sınırlı	9	2	-0.64	7	0.64
müdahale	9	2	-0.64	7	0.64
sonucu	9	5	0.97	4	-0.97
yol	9	3	0.56	6	0.56
etmek	9	4	0.68	5	-0.68
çünkü	9	5	0.97	4	-0.97
var	9	3	0.56	6	0.56
başına	9	2	-0.64	7	0.64
kurumsal	9	1	-0.95	8	0.95
2020	9	1	-0.95	8	0.95
adı	9	2	-0.64	7	0.64
biçimde	9	1	-0.95	8	0.95
eylül	9	1	-0.95	8	0.95
dayalı	9	1	-0.95	8	0.95
batı	9	1	-0.95	8	0.95
idare	9	1	-0.95	8	0.95
arasındaki	9	0	-1.62	9	1.62
ağustos	9	0	-1.62	9	1.62
1939	9	0	-1.62	9	1.62
kürt	9	0	-1.62	9	1.62
bölgesi	9	0	-1.62	9	1.62
bulunduğu	9	0	-1.62	9	1.62
hakkı	9	0	-1.62	9	1.62
i̇ngiltere	9	0	-1.62	9	1.62
i̇l	9	0	-1.62	9	1.62
ters	9	0	-1.62	9	1.62
maddi	9	0	-1.62	9	1.62
güçlendirilmesi	9	0	-1.62	9	1.62
baskı	9	0	-1.62	9	1.62
doğrudan	9	0	-1.62	9	1.62
b	9	0	-1.62	9	1.62
land'ın	9	0	-1.62	9	1.62
eyalet	9	0	-1.62	9	1.62
machine	9	0	-1.62	9	1.62
sitesinde	9	0	-1.62	9	1.62
devleti	9	0	-1.62	9	1.62
açıkça	9	0	-1.62	9	1.62
devletler	9	0	-1.62	9	1.62
2017	9	0	-1.62	9	1.62
bizans'ta	8	6	1.73	2	-1.73
memleketlerini	8	6	1.73	2	-1.73
zapt	8	6	1.73	2	-1.73
ettilerse	8	6	1.73	2	-1.73
müddet	8	6	1.73	2	-1.73
kısımlara	8	6	1.73	2	-1.73
28	8	1	-0.83	7	0.83
veren	8	1	-0.83	7	0.83
zamanda	8	7	2.57	1	-2.57
teknoloji	8	7	2.57	1	-2.57
olmadığı	8	2	-0.57	6	0.57
örneğin	8	7	2.57	1	-2.57
destekli	8	4	0.75	4	-0.75
geleceğin	8	7	2.57	1	-2.57
isteyen	8	1	-0.83	7	0.83
savaşı	8	1	-0.83	7	0.83
salonu	8	8	3.76	0	-3.76
kararlaştırılacak	8	8	3.76	0	-3.76
tarihten	8	8	3.76	0	-3.76
çalışma	8	2	-0.57	6	0.57
sürekli	8	5	1.14	3	-1.14
kara	8	6	1.73	2	-1.73
oluşturan	8	1	-0.83	7	0.83
ulaq	8	7	2.57	1	-2.57
yönelik	8	5	1.14	3	-1.14
sözcük	8	3	0.56	5	0.56
nomos	8	7	2.57	1	-2.57
seçen	8	6	1.73	2	-1.73
düşünce	8	5	1.14	3	-1.14
2024	8	8	3.76	0	-3.76
kurumlar	8	1	-0.83	7	0.83
toplumsal	8	5	1.14	3	-1.14
özgür	8	1	-0.83	7	0.83
süre	8	2	-0.57	6	0.57
slovak	8	3	0.56	5	0.56
ağır	8	1	-0.83	7	0.83
az	8	3	0.56	5	0.56
bilimsel	8	2	-0.57	6	0.57
düzeyde	8	1	-0.83	7	0.83
uzun	8	4	0.75	4	-0.75
kelimedir	8	6	1.73	2	-1.73
auto	8	5	1.14	3	-1.14
kelimelerinin	8	7	2.57	1	-2.57
konularında	8	5	1.14	3	-1.14
kısaca	8	4	0.75	4	-0.75
kural	8	2	-0.57	6	0.57
sabit	8	5	1.14	3	-1.14
yabancı	8	5	1.14	3	-1.14
bahsetmek	8	7	2.57	1	-2.57
sürecine	8	4	0.75	4	-0.75
artık	8	1	-0.83	7	0.83
bugün	8	3	0.56	5	0.56
kendilerini	8	3	0.56	5	0.56
tür	8	3	0.56	5	0.56
unsuru	8	5	1.14	3	-1.14
bununla	8	3	0.56	5	0.56
çalışmalar	8	1	-0.83	7	0.83
kaynaklar	8	3	0.56	5	0.56
ortamı	8	4	0.75	4	-0.75
yine	8	1	-0.83	7	0.83
topluluk	8	1	-0.83	7	0.83
içerisinde	8	1	-0.83	7	0.83
geldi	8	0	-1.44	8	1.44
19	8	0	-1.44	8	1.44
yürütme	8	0	-1.44	8	1.44
günümüzde	8	0	-1.44	8	1.44
genellikle	8	0	-1.44	8	1.44
almıştır	8	0	-1.44	8	1.44
yasalarla	8	0	-1.44	8	1.44
demokrasi	8	0	-1.44	8	1.44
yetkilerinin	8	0	-1.44	8	1.44
21	8	0	-1.44	8	1.44
konseyi	8	0	-1.44	8	1.44
2015	8	0	-1.44	8	1.44
üniter	8	0	-1.44	8	1.44
irak-kürt	8	0	-1.44	8	1.44
wayback	8	0	-1.44	8	1.44
saddam	8	0	-1.44	8	1.44
devletlerin	8	0	-1.44	8	1.44
cumhuriyetinin	8	0	-1.44	8	1.44
köken	7	5	1.39	2	-1.39
li	7	6	2.15	1	-2.15
platform	7	7	3.29	0	-3.29
asistanlı	7	7	3.29	0	-3.29
anlamıyla	7	2	0.52	5	0.52
olup	7	3	0.58	4	-0.58
dünya	7	3	0.58	4	-0.58
sayesinde	7	7	3.29	0	-3.29
buna	7	1	-0.70	6	0.70
i̇	7	7	3.29	0	-3.29
geçen	7	5	1.39	2	-1.39
kelimesi	7	7	3.29	0	-3.29
birinci	7	1	-0.70	6	0.70
t	7	1	-0.70	6	0.70
yürütülen	7	7	3.29	0	-3.29
derslerinde	7	7	3.29	0	-3.29
sınıfların	7	7	3.29	0	-3.29
pek	7	4	0.87	3	-0.87
deniz	7	5	1.39	2	-1.39
güvenlik	7	6	2.15	1	-2.15
kritik	7	6	2.15	1	-2.15
100	7	1	-0.70	6	0.70
uluslararası	7	4	0.87	3	-0.87
gerçek	7	5	1.39	2	-1.39
autonom	7	4	0.87	3	-0.87
örgüt	7	2	0.52	5	0.52
reddeden	7	3	0.58	4	-0.58
sözlük	7	6	2.15	1	-2.15
nazi	7	4	0.87	3	-0.87
eğer	7	2	0.52	5	0.52
mevcut	7	5	1.39	2	-1.39
köklü	7	1	-0.70	6	0.70
politik	7	1	-0.70	6	0.70
üniversitelere	7	1	-0.70	6	0.70
hareketleri	7	3	0.58	4	-0.58
önünü	7	1	-0.70	6	0.70
hlinka	7	2	0.52	5	0.52
haziran	7	1	-0.70	6	0.70
özerkliğine	7	1	-0.70	6	0.70
olanak	7	2	0.52	5	0.52
nedeniyle	7	1	-0.70	6	0.70
sırada	7	1	-0.70	6	0.70
almaktadır	7	5	1.39	2	-1.39
manası	7	6	2.15	1	-2.15
ahlaki	7	3	0.58	4	-0.58
konusunu	7	4	0.87	3	-0.87
hayatta	7	5	1.39	2	-1.39
öğretim	7	5	1.39	2	-1.39
davranış	7	7	3.29	0	-3.29
autonomy	7	6	2.15	1	-2.15
bilgi	7	6	2.15	1	-2.15
sürecinde	7	5	1.39	2	-1.39
sahiptir	7	4	0.87	3	-0.87
bunu	7	4	0.87	3	-0.87
proleter	7	7	3.29	0	-3.29
üç	7	2	0.52	5	0.52
i̇şçi	7	7	3.29	0	-3.29
döneminde	7	2	0.52	5	0.52
kesin	7	3	0.58	4	-0.58
anlama	7	6	2.15	1	-2.15
başında	7	4	0.87	3	-0.87
önceki	7	4	0.87	3	-0.87
çerçevesi	7	4	0.87	3	-0.87
dönemde	7	1	-0.70	6	0.70
den	7	4	0.87	3	-0.87
aslında	7	2	0.52	5	0.52
mücadele	7	6	2.15	1	-2.15
dahil	7	4	0.87	3	-0.87
eski	7	3	0.58	4	-0.58
kaynak	7	1	-0.70	6	0.70
olur	7	3	0.58	4	-0.58
itibariyle	7	1	-0.70	6	0.70
halini	7	1	-0.70	6	0.70
eşit	7	1	-0.70	6	0.70
olmalıdır	7	1	-0.70	6	0.70
almak	7	1	-0.70	6	0.70
taleplerinin	7	1	-0.70	6	0.70
ülkede	7	0	-1.26	7	1.26
döviz	7	0	-1.26	7	1.26
arası	7	0	-1.26	7	1.26
bağımsızlığı	7	0	-1.26	7	1.26
anlaşması	7	0	-1.26	7	1.26
edilir	7	0	-1.26	7	1.26
yapılanmayı	7	0	-1.26	7	1.26
programların	7	0	-1.26	7	1.26
kaynakları	7	0	-1.26	7	1.26
hak	7	0	-1.26	7	1.26
kurulması	7	0	-1.26	7	1.26
kültürel	7	0	-1.26	7	1.26
amacı	7	0	-1.26	7	1.26
güvence	7	0	-1.26	7	1.26
benzeri	7	0	-1.26	7	1.26
1992	7	0	-1.26	7	1.26
romanya'daki	7	0	-1.26	7	1.26
anlaşma	7	0	-1.26	7	1.26
sescu	7	0	-1.26	7	1.26
araya	7	0	-1.26	7	1.26
meclisi	7	0	-1.26	7	1.26
tarih	7	0	-1.26	7	1.26
doğu	7	0	-1.26	7	1.26
anayasası	7	0	-1.26	7	1.26
tüzüğü	7	0	-1.26	7	1.26
edilmiştir	7	0	-1.26	7	1.26
katalan	7	0	-1.26	7	1.26
nahçıvan	7	0	-1.26	7	1.26
görülmektedir	7	0	-1.26	7	1.26
devletleri	7	0	-1.26	7	1.26
masum	7	0	-1.26	7	1.26
duygusal	7	0	-1.26	7	1.26
alt	6	3	0.65	3	-0.65
verdiler	6	4	1.06	2	-1.06
r	6	2	0.48	4	0.48
autonomie	6	4	1.06	2	-1.06
katkı	6	5	1.75	1	-1.75
geliştirilen	6	3	0.65	3	-0.65
işbirlikçi	6	1	-0.59	5	0.59
farklılıkların	6	1	-0.59	5	0.59
üretim	6	6	2.82	0	-2.82
ai	6	6	2.82	0	-2.82
dikkat	6	2	0.48	4	0.48
güç	6	4	1.06	2	-1.06
elektrikli	6	6	2.82	0	-2.82
16	6	2	0.48	4	0.48
ileri	6	2	0.48	4	0.48
i̇srail	6	1	-0.59	5	0.59
programı	6	3	0.65	3	-0.65
harfi	6	6	2.82	0	-2.82
n	6	4	1.06	2	-1.06
hazırlık	6	6	2.82	0	-2.82
sınıfları	6	6	2.82	0	-2.82
öğrencileri	6	5	1.75	1	-1.75
sınıfı	6	6	2.82	0	-2.82
sırasında	6	3	0.65	3	-0.65
orta	6	1	-0.59	5	0.59
ölçüde	6	3	0.65	3	-0.65
olmasını	6	2	0.48	4	0.48
i̇lk	6	2	0.48	4	0.48
uyum	6	3	0.65	3	-0.65
grekçe	6	4	1.06	2	-1.06
hiyerarşiyi	6	2	0.48	4	0.48
katılım	6	2	0.48	4	0.48
gizliliği	6	2	0.48	4	0.48
muhtar	6	4	1.06	2	-1.06
mos	6	2	0.48	4	0.48
ait	6	2	0.48	4	0.48
taslak	6	2	0.48	4	0.48
alman	6	6	2.82	0	-2.82
merkezli	6	3	0.65	3	-0.65
etme	6	2	0.48	4	0.48
etmektedir	6	4	1.06	2	-1.06
terim	6	4	1.06	2	-1.06
yunanistan	6	1	-0.59	5	0.59
vererek	6	4	1.06	2	-1.06
ettiğini	6	3	0.65	3	-0.65
kötü	6	3	0.65	3	-0.65
yolculuk	6	6	2.82	0	-2.82
istedikleri	6	3	0.65	3	-0.65
mümkün	6	3	0.65	3	-0.65
verebilme	6	5	1.75	1	-1.75
verebilmesi	6	5	1.75	1	-1.75
örnek	6	1	-0.59	5	0.59
araştırma	6	3	0.65	3	-0.65
benzer	6	4	1.06	2	-1.06
sürecini	6	5	1.75	1	-1.75
önemi	6	5	1.75	1	-1.75
gerekir	6	2	0.48	4	0.48
david	6	5	1.75	1	-1.75
sayede	6	4	1.06	2	-1.06
sonuç	6	3	0.65	3	-0.65
belirleyen	6	2	0.48	4	0.48
süreci	6	2	0.48	4	0.48
belirleme	6	1	-0.59	5	0.59
değişen	6	2	0.48	4	0.48
gün	6	1	-0.59	5	0.59
on	6	6	2.82	0	-2.82
gerektiğini	6	1	-0.59	5	0.59
etmiştir	6	4	1.06	2	-1.06
i̇talyan	6	3	0.65	3	-0.65
yılların	6	6	2.82	0	-2.82
kendisini	6	4	1.06	2	-1.06
gruplar	6	6	2.82	0	-2.82
yönü	6	2	0.48	4	0.48
bağlamda	6	1	-0.59	5	0.59
genişletilmesi	6	2	0.48	4	0.48
ettiler	6	4	1.06	2	-1.06
donatılmış	6	4	1.06	2	-1.06
yanı	6	1	-0.59	5	0.59
sıra	6	1	-0.59	5	0.59
oluşturduğu	6	2	0.48	4	0.48
sağlıklı	6	1	-0.59	5	0.59
kendilerine	6	1	-0.59	5	0.59
alanının	6	1	-0.59	5	0.59
organları	6	1	-0.59	5	0.59
esas	6	1	-0.59	5	0.59
küçük	6	2	0.48	4	0.48
dikkate	6	2	0.48	4	0.48
kendisi	6	0	-1.08	6	1.08
barış	6	0	-1.08	6	1.08
kaldığı	6	0	-1.08	6	1.08
geçerli	6	0	-1.08	6	1.08
iken	6	0	-1.08	6	1.08
bulunabilir	6	0	-1.08	6	1.08
personelin	6	0	-1.08	6	1.08
abd	6	0	-1.08	6	1.08
üniversitelerindeki	6	0	-1.08	6	1.08
anayasasında	6	0	-1.08	6	1.08
puan	6	0	-1.08	6	1.08
sırbistan	6	0	-1.08	6	1.08
31	6	0	-1.08	6	1.08
modelinde	6	0	-1.08	6	1.08
