otonomi	ve eğitim sonucu elde edilen çıktıların yüksek öğretim sektörünün hem içinde hem de dışında dağıtılması” olarak tanımlanmıştır. Yine bildirgede “Kurumsal	otonominin	akademik özgürlük için temel olduğu” vurgulanmıştır. AB düzeyinde “Bilimsel Araştırma Özgürlüğü hakkında Bonn Deklarasyonu, Bakanlar Konseyinin Ekim 2020 tarihli toplantısında
özerklik	Yasalara aykırı olamaz. Rektörün ve idari personelin görev ve yetkilerini tanımlar. Bu nedenle, dışarıdan etki olmaksızın yönetmeliklerin değiştirilmesi ve uygulanması	özerkliğin	önemli unsurlarından birisidir. Ülkelerin yarısında üniversiteler yönetmeliklerini kendileri değiştirebilir iken diğer yarısında dış otoritenin onayı gerekir. Ancak çoğu kez bu
özerklik	tüm kesimlerine açılan üniversitelerin yönetimi de devlet tarafından finanse edilmeye başlandı. Araştırma ve eğitimin önem kazanmasıyla birlikte bilimsel ve örgütsel	özerklik	de bu dönemde gündeme geldi. ABD üniversitelerinde ise rektör daha uzun süreli seçilen, lider, girişimci konumda olan bir kişi iken
özerklik	Dolayısıyla her zaman doğru konuşmalı, diğer fikirlere saygı göstermeli ve aslında yalnızca kendi adlarına konuştuklarını belli etmelidirler. Amerikan Anayasasında üniversite	özerkliğine	değinilmez, ancak genel anlamda ifade özgürlüğü anayasanın temelini oluşturur. Ancak Amerikan Yüksek Mahkemesi, üniversitelerde 4 ana özgürlük olduğundan söz eder:
özerklik	ilginçtir. Aslında yalnızca belirli görüşlerin aktarıldığı ve karşıt görüşlerin konuşulmadığı/hoş görülmediği yerlere üniversite demek doğru değildir. Üniversitelerin finansal kaynakları ile	özerkliği	arasındaki ilişki hemen her zaman olmuştur. Masrafların öğrenciler tarafından karşılandığı özel üniversitelerde öğrencilerin etkisi belirgin iken Ortaçağda kilise veya imparatorlar
özerklik	Gittikçe şirketleşen ABD üniversitelerinin akademik özgürlüğü tehdit ettiği tartışılmaya başlanmıştır. Avrupa Üniversiteler Birliği tarafından geliştirilen bir skorlama sistemi, her ülkeyi	özerklik	unsurları konusunda puanlamaktadır. (scorecard) 100 tam puan üzerinden yapılan bu puanlamada son olarak 2023 yılında 35 ülke değerlendirilmiştir. Organizasyonel özerklik
özerklik	özerklik unsurları konusunda puanlamaktadır. (scorecard) 100 tam puan üzerinden yapılan bu puanlamada son olarak 2023 yılında 35 ülke değerlendirilmiştir. Organizasyonel	özerklik	konusunda İngiltere (100), İskoçya (100), Finlandiya (93), Belçika-Brüksel (90), Litvanya 88), Danimarka(87), Hollanda (83) ile en yüksek grupta yer alırken
özerklik	Türkiye bulunmaktadır. Bundaki en önemli etken rektörün seçilme, atanma ve görevden alınmasının yalnızca Devlet Başkanının yetkisinde olması olup bu durum	özerkliğin	diğer unsurlarını da etkilemektedir. Mali özerklik açısından ilk 10 sırada yer alan ülkeler Letonya (90), İngiltere (89), İskoçya (80), Estonya
özerklik	rektörün seçilme, atanma ve görevden alınmasının yalnızca Devlet Başkanının yetkisinde olması olup bu durum özerkliğin diğer unsurlarını da etkilemektedir. Mali	özerklik	açısından ilk 10 sırada yer alan ülkeler Letonya (90), İngiltere (89), İskoçya (80), Estonya (77), Lüksemburg (75), Romanya (75), Belçika
özerklik	düşük grupta yer alan ülkeler (Sırbistan 40), Türkiye (37), Almanya-Hesse (35), Norveç (35), Yunanistan (31) ve Kıbrıs (23) olmuştur. Personel	özerkliğinde	Estonya (100), Çekya (98), İsveç (97), İngiltere (96), Gürcistan (96), Lüksemburg (96), İskoçya (96), Finlandiya (92) ve Hollanda (92) en
özerklik	56 puan ile 26. sırada yer almıştır. Üst sıralarda yer alan ülkelerin en önemli özelliği personelin devlet memuru olmamasıdır. Akademik	özerklik	açısından önde gelen ülkeler Estonya (95), Finlandiya (90), İngiltere (89), Lüksemburg (89), İskoçya (89), Almanya Hesse ve Kuzey Ren-Westfalya (88),
özerklik	Yunanistan (37) ve Belçika Wallonia (26) olmuştur. Türkiye 46 puan ile 31. Sırada yer almıştır. HUKUKİ DÜZENLEMELERDE AKADEMİK ÖZGÜRLÜK Kurumsal	özerklik:	Kurumsal özerklik, üniversiteleri devletin akademik özerkliğe karışmasını engelleyen bir mekanizmadır. 2020 yılında yayınlanan Roma Bildirgesinde akademik özgürlük, temel demokratik bir
özerklik	ve Belçika Wallonia (26) olmuştur. Türkiye 46 puan ile 31. Sırada yer almıştır. HUKUKİ DÜZENLEMELERDE AKADEMİK ÖZGÜRLÜK Kurumsal özerklik: Kurumsal	özerklik,	üniversiteleri devletin akademik özerkliğe karışmasını engelleyen bir mekanizmadır. 2020 yılında yayınlanan Roma Bildirgesinde akademik özgürlük, temel demokratik bir hak ve
özerklik	olmuştur. Türkiye 46 puan ile 31. Sırada yer almıştır. HUKUKİ DÜZENLEMELERDE AKADEMİK ÖZGÜRLÜK Kurumsal özerklik: Kurumsal özerklik, üniversiteleri devletin akademik	özerkliğe	karışmasını engelleyen bir mekanizmadır. 2020 yılında yayınlanan Roma Bildirgesinde akademik özgürlük, temel demokratik bir hak ve bilgi ve hakikatin ortaya
özerklik	ülkelerde bu kararı hükümet verdi ve üniversitelerin uymasını istedi. Bu da üniversitelerin stratejik önemini bir kez daha ortaya koymakla beraber	özerklik	konusunda da tartışmalara yol açtı. ÖZERKLİĞİN SORUNLARI Ülkeler genel olarak yüksek öğretime milliyetçilik, verimlilik ve performans açılarından bakmakta ve yönlerden
özerklik	verimlilik ve performans açılarından bakmakta ve yönlerden tanımlamaya çalışmaktadır. Üniversitelerin endüstrinin isteklerine bağlı olarak teknoloji eğitimlerine ağırlık vermesi, beraberinde kendi	özerkliğini	kaybetmesi tehlikesini de getirmektedir. Kamunun mali desteği ne kadar fazla ise üniversiteler altyapı ve yeni program açmada o kadar özgür
özerklik	mali desteği ne kadar fazla ise üniversiteler altyapı ve yeni program açmada o kadar özgür olabilmekte, kamusal kaynakların kesilmesi durumunda	özerklikte	de gerileme söz konusu olabilmekte, büyük krizlere ve şoklara dayanıklılık azalabilmektedir. Maaşların dış otorite tarafından belirlenmesi de üniversitenin cazibesini ve
özerklik	hale gelmektedir. Üniversitelerin kar-getirici kurum açamamaları veya çok zor açmaları da bu durumu daha da kötüleştirmektedir. Bazı ülkelerde akademisyen sözleşmeleri	özerkliği	büyük oranda etkilemektedir. Bu ülkelerde sözleşmeler oldukça detaylı olup araştırma-geliştirme, eğitim, eleman yetiştirme, kurumlar arası işbirliği gibi birçok konuyu içerebilmektedir.
özerklik	bazı düzenlemelere takılmaktadır. Tarihi binaların korunması ise yüksek maliyet gerektiren bir unsur olarak ortaya çıkmaktadır. Personelin memur statüsünde olması genellikle	özerkliği	zedeleyen bir unsur olarak kabul edilir. Buna karşılık esnek kadro modelinde 1 yıldan daha uzun süre sözleşme yapılamaması, özellikle yabancı
özerklik	gibi uluslar arası öğrencisi oldukça fazla olan ülkeler yeni sınırlamalar getirmeye planlamaktadırlar. Danimarka da İngilizce eğitim yapan programları azaltmaya hedeflemektedir.	Özerklik	ile hesap verebilme arasında hassas bir denge vardır. Kamu otoritesi, üniversitelere farklı görevler yükledikçe bu denge de değişmektedir. Hesap verebilirlik,
özerklik	kişi ve kurumların etki etmesine de olanak sağlamaktadır. Bu bağlamda üniversiteler “uyum sağla veya açıkla” prensibi ile hareket etmek zorundadırlar.	Özerkliğin	sağlanmasında liderlik büyük önem taşımaktadır. Bu nedenle personel eğitimi yapılmalı ve gerekli personel zamanında yetiştirilmelidir. Üniversiteler bir vakum içinde çalışamaz.
özerklik	sağlanmasında liderlik büyük önem taşımaktadır. Bu nedenle personel eğitimi yapılmalı ve gerekli personel zamanında yetiştirilmelidir. Üniversiteler bir vakum içinde çalışamaz.	Özerklik	arttıkça, bunun getirdiği sorunlarla başa çıkmak için farklı kaynaklar gerekir. Kampüs olanakları, dijitalizasyon, sürdürülebilirlik, liderlik ve profesyonelleşme gündeme gelecektir. SON
özerklik	farklı kaynaklar gerekir. Kampüs olanakları, dijitalizasyon, sürdürülebilirlik, liderlik ve profesyonelleşme gündeme gelecektir. SON SÖZ Görüldüğü gibi akademik özgürlük ve üniversite	özerkliği	üniversite fikriyatı ile birlikte ortaya çıkan ancak aradan yüzyıllar geçmesine rağmen henüz üzerinde net olarak anlaşılamayan ve her ülkede farklı
özerklik	rağmen bilimsel, sosyal ve toplumsal ilerlemelerin ancak ortak akılla, tartışarak, konuşarak, kanıtları ortaya koyarak adil bir şekilde meydana gelebileceği düşünüldüğünde	özerklik	üzerinde hassasiyetle durmamızın gerekliliği açıktır. KAYNAKLAR Finkin, M. W., & Post, R. C. (2009). For the common good: Principles of
